"","basin_ID","Env_Var","Country","Correlation","Site_ID1","Site_ID2"
"S1481.S1468","2080016510","clim_max_raw","FRA","0.997058775222874","S1481","S1468"
"S1548.S1468","2080016510","clim_max_raw","FRA","0.999661889938793","S1548","S1468"
"S1578.S1468","2080016510","clim_max_raw","FRA","0.999474276547198","S1578","S1468"
"S3412.S1468","2080016510","clim_max_raw","FRA","0.953794834138152","S3412","S1468"
"S3440.S1468","2080016510","clim_max_raw","FRA","0.951662456856024","S3440","S1468"
"S5166.S1468","2080016510","clim_max_raw","FRA","0.950443163490397","S5166","S1468"
"S5193.S1468","2080016510","clim_max_raw","FRA","0.938577692005859","S5193","S1468"
"S5212.S1468","2080016510","clim_max_raw","FRA","0.935655554413091","S5212","S1468"
"S5448.S1468","2080016510","clim_max_raw","FRA","0.99324865399309","S5448","S1468"
"S5449.S1468","2080016510","clim_max_raw","FRA","0.991422231730773","S5449","S1468"
"S5471.S1468","2080016510","clim_max_raw","FRA","0.989908553590127","S5471","S1468"
"S5472.S1468","2080016510","clim_max_raw","FRA","0.987193994360553","S5472","S1468"
"S5490.S1468","2080016510","clim_max_raw","FRA","0.984511267754514","S5490","S1468"
"S5546.S1468","2080016510","clim_max_raw","FRA","0.985626637566533","S5546","S1468"
"S1548.S1481","2080016510","clim_max_raw","FRA","0.997309807469239","S1548","S1481"
"S1578.S1481","2080016510","clim_max_raw","FRA","0.99876950691158","S1578","S1481"
"S3412.S1481","2080016510","clim_max_raw","FRA","0.962085360687884","S3412","S1481"
"S3440.S1481","2080016510","clim_max_raw","FRA","0.96096509514531","S3440","S1481"
"S5166.S1481","2080016510","clim_max_raw","FRA","0.951523611333672","S5166","S1481"
"S5193.S1481","2080016510","clim_max_raw","FRA","0.945805447130632","S5193","S1481"
"S5212.S1481","2080016510","clim_max_raw","FRA","0.938025689049134","S5212","S1481"
"S5448.S1481","2080016510","clim_max_raw","FRA","0.998697272426612","S5448","S1481"
"S5449.S1481","2080016510","clim_max_raw","FRA","0.997813465893015","S5449","S1481"
"S5471.S1481","2080016510","clim_max_raw","FRA","0.994574868276993","S5471","S1481"
"S5472.S1481","2080016510","clim_max_raw","FRA","0.994150796927396","S5472","S1481"
"S5490.S1481","2080016510","clim_max_raw","FRA","0.991426833375155","S5490","S1481"
"S5546.S1481","2080016510","clim_max_raw","FRA","0.988505097530992","S5546","S1481"
"S1578.S1548","2080016510","clim_max_raw","FRA","0.99927216964838","S1578","S1548"
"S3412.S1548","2080016510","clim_max_raw","FRA","0.951965627109354","S3412","S1548"
"S3440.S1548","2080016510","clim_max_raw","FRA","0.949854699069415","S3440","S1548"
"S5166.S1548","2080016510","clim_max_raw","FRA","0.948966012512739","S5166","S1548"
"S5193.S1548","2080016510","clim_max_raw","FRA","0.936769836067136","S5193","S1548"
"S5212.S1548","2080016510","clim_max_raw","FRA","0.933730118313522","S5212","S1548"
"S5448.S1548","2080016510","clim_max_raw","FRA","0.993455147394331","S5448","S1548"
"S5449.S1548","2080016510","clim_max_raw","FRA","0.991406773956773","S5449","S1548"
"S5471.S1548","2080016510","clim_max_raw","FRA","0.990073389645808","S5471","S1548"
"S5472.S1548","2080016510","clim_max_raw","FRA","0.986839162893893","S5472","S1548"
"S5490.S1548","2080016510","clim_max_raw","FRA","0.983720180200774","S5490","S1548"
"S5546.S1548","2080016510","clim_max_raw","FRA","0.985851616478632","S5546","S1548"
"S3412.S1578","2080016510","clim_max_raw","FRA","0.958049609062337","S3412","S1578"
"S3440.S1578","2080016510","clim_max_raw","FRA","0.956349573684185","S3440","S1578"
"S5166.S1578","2080016510","clim_max_raw","FRA","0.951100709312293","S5166","S1578"
"S5193.S1578","2080016510","clim_max_raw","FRA","0.942314788918077","S5193","S1578"
"S5212.S1578","2080016510","clim_max_raw","FRA","0.93715481294345","S5212","S1578"
"S5448.S1578","2080016510","clim_max_raw","FRA","0.996154740379516","S5448","S1578"
"S5449.S1578","2080016510","clim_max_raw","FRA","0.994566005116125","S5449","S1578"
"S5471.S1578","2080016510","clim_max_raw","FRA","0.992455976298219","S5471","S1578"
"S5472.S1578","2080016510","clim_max_raw","FRA","0.990597544289293","S5472","S1578"
"S5490.S1578","2080016510","clim_max_raw","FRA","0.98797153175803","S5490","S1578"
"S5546.S1578","2080016510","clim_max_raw","FRA","0.987323249384538","S5546","S1578"
"S3440.S3412","2080016510","clim_max_raw","FRA","0.998368884413558","S3440","S3412"
"S5166.S3412","2080016510","clim_max_raw","FRA","0.984431309132279","S5166","S3412"
"S5193.S3412","2080016510","clim_max_raw","FRA","0.997192760520265","S5193","S3412"
"S5212.S3412","2080016510","clim_max_raw","FRA","0.985923137811409","S5212","S3412"
"S5448.S3412","2080016510","clim_max_raw","FRA","0.966322302074818","S5448","S3412"
"S5449.S3412","2080016510","clim_max_raw","FRA","0.975046241598311","S5449","S3412"
"S5471.S3412","2080016510","clim_max_raw","FRA","0.981857957223056","S5471","S3412"
"S5472.S3412","2080016510","clim_max_raw","FRA","0.98482298968307","S5472","S3412"
"S5490.S3412","2080016510","clim_max_raw","FRA","0.988430247518368","S5490","S3412"
"S5546.S3412","2080016510","clim_max_raw","FRA","0.983239711919344","S5546","S3412"
"S5166.S3440","2080016510","clim_max_raw","FRA","0.9777139343396","S5166","S3440"
"S5193.S3440","2080016510","clim_max_raw","FRA","0.995818794901779","S5193","S3440"
"S5212.S3440","2080016510","clim_max_raw","FRA","0.980408893231419","S5212","S3440"
"S5448.S3440","2080016510","clim_max_raw","FRA","0.964790598174956","S5448","S3440"
"S5449.S3440","2080016510","clim_max_raw","FRA","0.973749692219218","S5449","S3440"
"S5471.S3440","2080016510","clim_max_raw","FRA","0.980539584485146","S5471","S3440"
"S5472.S3440","2080016510","clim_max_raw","FRA","0.984202689235695","S5472","S3440"
"S5490.S3440","2080016510","clim_max_raw","FRA","0.986816342330027","S5490","S3440"
"S5546.S3440","2080016510","clim_max_raw","FRA","0.981056430551547","S5546","S3440"
"S5193.S5166","2080016510","clim_max_raw","FRA","0.98679239213545","S5193","S5166"
"S5212.S5166","2080016510","clim_max_raw","FRA","0.997700899149438","S5212","S5166"
"S5448.S5166","2080016510","clim_max_raw","FRA","0.951108434838106","S5448","S5166"
"S5449.S5166","2080016510","clim_max_raw","FRA","0.960077754405919","S5449","S5166"
"S5471.S5166","2080016510","clim_max_raw","FRA","0.974790450443386","S5471","S5166"
"S5472.S5166","2080016510","clim_max_raw","FRA","0.970161930362742","S5472","S5166"
"S5490.S5166","2080016510","clim_max_raw","FRA","0.973768427884792","S5490","S5166"
"S5546.S5166","2080016510","clim_max_raw","FRA","0.983860495352958","S5546","S5166"
"S5212.S5193","2080016510","clim_max_raw","FRA","0.990336599311811","S5212","S5193"
