"","S1133","S1157","S1159","S2247","S2252","S2257","S2290","S3715","S3723","S4684","S4690","S4692","S4693","S4707","S4723","S5017","S5513","S810","S811","S813","S819","S892","S894","S903"
"S1133",1,0.852157930718805,0.741411839317769,0.427412755825956,0.300337886321821,0.525223232249952,0.447195807671939,0.164239960771192,0.308548821745733,0.570959080149467,0.92949545575087,0.72496630618537,0.98264226094622,0.916159829240483,0.656923127901028,0.644708567661968,0.491535609825638,0.0780847770065662,0.224309908953538,0.474712813050635,-0.0615097312449647,-0.107542149526076,0.21015983470519,0.313284001416459
"S1157",0.852157930718805,1,0.96816206615697,0.616730752072962,0.349778671006845,0.514772187107871,0.39723850678284,0.553417006011836,0.41055706498961,0.508212049718382,0.906259110547451,0.751934959038765,0.91627491152517,0.899271467954413,0.625248088513501,0.690329914681116,0.438146784782778,0.0214611139002884,0.277914671375133,0.697961720639628,0.294909954372399,0.0978109879687128,0.356306109037876,0.303370018891538
"S1159",0.741411839317769,0.96816206615697,1,0.665575184766086,0.218793078925422,0.374016240233899,0.211379903239487,0.622123200453583,0.265367456188498,0.337682732018629,0.856868373277681,0.757902850500342,0.818355733144937,0.802732525504385,0.58030527885625,0.61303281924159,0.261721781150062,-0.136829933979589,0.132887863619391,0.655999999869608,0.344940068698702,0.207688181442967,0.235037930415021,0.13879259310982
"S2247",0.427412755825956,0.616730752072962,0.665575184766086,1,0.0789118977664854,0.077570067175444,0.0585130778213061,0.725331966507281,0.00964202841108173,0.0612874424163134,0.618789483562049,0.787955804745352,0.471600862257116,0.417749693521795,0.672577040179693,0.576510257730458,0.308414216443423,-0.206805828882751,-0.0809759621075486,0.542899545568665,0.292797281199769,0.615363836367353,0.265360470570885,0.255779862340925
"S2252",0.300337886321821,0.349778671006845,0.218793078925422,0.0789118977664854,1,0.894613257075233,0.868144487687375,0.455192053431705,0.938612844309462,0.898459198680012,0.167335569275001,0.0927101210080949,0.313430340176731,0.385668575779273,0.367273053841474,0.52372306901092,0.760269905646824,0.580931976324293,0.924383971912628,0.680429910032318,0.12403123319341,-0.303140934935597,0.730911265311728,0.784459739973553
"S2257",0.525223232249952,0.514772187107871,0.374016240233899,0.077570067175444,0.894613257075233,1,0.825903076422094,0.307778422923988,0.873028010327359,0.956543607189446,0.437977228370091,0.21617151327478,0.552121016963284,0.649907218677904,0.541110595881711,0.682961476992301,0.666051355364637,0.428134834267094,0.768836539488851,0.549998509197941,-0.0397333040645179,-0.332504092846499,0.571957874681015,0.702139551913676
"S2290",0.447195807671939,0.39723850678284,0.211379903239487,0.0585130778213061,0.868144487687375,0.825903076422094,1,0.268473986320052,0.890794746484222,0.932980462622201,0.261442743358995,0.144435053473638,0.439369364926803,0.468889949843997,0.372228933755566,0.546307308868752,0.890523694170968,0.551900788190993,0.897422926498235,0.599441389264498,-0.0821147697424045,-0.407457352146428,0.797400315112679,0.903464497885124
"S3715",0.164239960771192,0.553417006011836,0.622123200453583,0.725331966507281,0.455192053431705,0.307778422923988,0.268473986320052,1,0.416683806633437,0.269438868380682,0.302609296750714,0.480122604482805,0.256615722587823,0.27469672014314,0.381906287571779,0.476965277705905,0.316962298795856,0.116093048203105,0.367381814883465,0.837786606050895,0.626578205887911,0.257074271378342,0.486076653386714,0.337907566278904
"S3723",0.308548821745733,0.41055706498961,0.265367456188498,0.00964202841108173,0.938612844309462,0.873028010327359,0.890794746484222,0.416683806633437,1,0.888370618728512,0.182208022643012,0.0207841614203581,0.352571793087293,0.4338602063955,0.228157833262852,0.517577750139094,0.771968646781114,0.633846689509476,0.95546561766359,0.67924017979619,0.241830049606926,-0.378726071659769,0.822972354232511,0.788495386104657
"S4684",0.570959080149467,0.508212049718382,0.337682732018629,0.0612874424163134,0.898459198680012,0.956543607189446,0.932980462622201,0.269438868380682,0.888370618728512,1,0.426932212507051,0.187899025478984,0.568928964724049,0.612648901087098,0.472807016154525,0.600444657195985,0.775479868859553,0.445438971752106,0.847193739389393,0.609415226743922,-0.0982993391540861,-0.410911082674706,0.63223949015046,0.770518686363445
