"","S6784","S6810","S6811","S6815","S6879","S6883","S6905","S6909","S6945","S7043","S7105"
"S6784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6810",NA,1,0.999960359501579,0.897935734494815,0.844018586812156,0.738781981087287,0.943370260384803,0.943370260384803,0.533460995656556,0.766662407159831,0.392486074575685
"S6811",NA,0.999960359501579,1,0.899627397815106,0.844385566331535,0.740005091793874,0.942475949691111,0.942475949691111,0.533879034881836,0.768756966063226,0.396956210501835
"S6815",NA,0.897935734494815,0.899627397815106,1,0.948281786205792,0.896332255038813,0.758981855530567,0.758981855530567,0.656207401323437,0.845990138337676,0.541663930635369
"S6879",NA,0.844018586812156,0.844385566331535,0.948281786205792,1,0.828121554493691,0.732580026255275,0.732580026255275,0.719505197320499,0.85271148234126,0.425829456993688
"S6883",NA,0.738781981087287,0.740005091793874,0.896332255038813,0.828121554493691,1,0.57206566967174,0.57206566967174,0.548779397881513,0.644840864612121,0.522173633325305
"S6905",NA,0.943370260384803,0.942475949691111,0.758981855530567,0.732580026255275,0.57206566967174,1,1,0.292953605383926,0.57137254766652,0.164994010219587
"S6909",NA,0.943370260384803,0.942475949691111,0.758981855530567,0.732580026255275,0.57206566967174,1,1,0.292953605383926,0.57137254766652,0.164994010219587
"S6945",NA,0.533460995656556,0.533879034881836,0.656207401323437,0.719505197320499,0.548779397881513,0.292953605383926,0.292953605383926,1,0.896765566731569,0.559016994374947
"S7043",NA,0.766662407159831,0.768756966063226,0.845990138337676,0.85271148234126,0.644840864612121,0.57137254766652,0.57137254766652,0.896765566731569,1,0.665425617651369
"S7105",NA,0.392486074575685,0.396956210501835,0.541663930635369,0.425829456993688,0.522173633325305,0.164994010219587,0.164994010219587,0.559016994374947,0.665425617651369,1
