"","S1177","S1193","S1242","S1249","S1251","S1277","S1288","S1397","S1427","S1438","S1542","S1917","S2081","S2172","S2292","S2432","S2445","S2463","S2478","S2580","S2581","S2611","S2628","S2709","S2715","S2723","S2740","S2768","S2783","S2803","S2813","S2855"
"S1177",1,0.759086026081091,0.978205845274265,0.980258509268205,0.962986518721219,0.93380421281227,0.929752587146262,0.748433194710235,0.929645178250121,0.914980544281394,0.80327296418407,0.849168839263567,0.852013422965786,0.774801177874344,0.556802745853577,0.595885687906434,0.556804031214464,0.551927868913668,0.547102080946885,0.549749949761495,0.481971719609466,0.520794710143466,0.58894549373735,0.726884307993246,0.726884307993246,0.562148039088734,0.585987516904799,0.530569899459776,0.684879657946954,0.526905373325297,0.650427709225446,0.469992819566947
"S1193",0.759086026081091,1,0.766896278389021,0.850362469703267,0.869769180289135,0.88154898825747,0.903657419360835,0.99950103495002,0.879153867755123,0.920555362040839,0.422306298443031,0.943004648427728,0.950012264941609,0.984255911502032,0.943375128478342,0.964188067494403,0.946579554206591,0.946588309048543,0.94848348287233,0.946254840282419,0.919411168870759,0.890940871545198,0.963523784431895,0.988625666616809,0.988625666616809,0.94138878264513,0.960915465350532,0.890524033979556,0.872941753600418,0.940197788388317,0.974500819645197,0.890128197814367
"S1242",0.978205845274265,0.766896278389021,1,0.984228691572912,0.969160849170935,0.955941645962731,0.94752497411728,0.75331411508972,0.958538206998646,0.942269141072262,0.735817339807484,0.855840166814006,0.86220869757744,0.790759980619871,0.559677869037436,0.598723978709117,0.548842703519572,0.546104196913885,0.543187040105459,0.544862269152267,0.478200623531211,0.520785803653193,0.594984107052631,0.726888142535452,0.726888142535452,0.549923584392415,0.584082349253302,0.507934597043457,0.673669506653118,0.529737309161427,0.647784978440121,0.457468199290622
"S1249",0.980258509268205,0.850362469703267,0.984228691572912,1,0.991762218643493,0.98021105945812,0.979723497402962,0.8402027321901,0.977401526538082,0.971728665672621,0.718089654975624,0.914392372837195,0.923857510350567,0.865269039096972,0.667238272630278,0.699797259534156,0.659611910507805,0.657155587217203,0.653218118193773,0.65635876959819,0.597255799493684,0.611638129281205,0.701076252917811,0.817154835096481,0.817154835096481,0.659676004562696,0.691067819800799,0.623955083612857,0.73252923963216,0.635830531126532,0.74976645576918,0.576955435642795
"S1251",0.962986518721219,0.869769180289135,0.969160849170935,0.991762218643493,1,0.992797383473686,0.989173931331035,0.861215490676298,0.988499668517167,0.982404356319516,0.673031489536995,0.934332717855375,0.937889886188525,0.883425068503441,0.715089683685807,0.726523013930172,0.683149081987669,0.682577618169477,0.685275476234773,0.68329138861067,0.641629282462056,0.640729091844417,0.731151827288083,0.846361865121271,0.846361865121271,0.691677166813462,0.721507776424988,0.656869348381975,0.733751719859862,0.665541139454578,0.78305045486026,0.621035641680842
"S1277",0.93380421281227,0.88154898825747,0.955941645962731,0.98021105945812,0.992797383473686,1,0.993318789395281,0.873082607806112,0.995550483867428,0.987399280376575,0.626231620171756,0.948768330852514,0.957628563495471,0.898659117000789,0.741634593435381,0.74294403022565,0.697385197910526,0.700071324859302,0.700695820309403,0.702822449906985,0.662714252767231,0.646199905427652,0.75228173650205,0.862073992945119,0.862073992945119,0.703364630461473,0.736412391827003,0.666757181886932,0.731818747311142,0.685110962941205,0.802175136411259,0.641678556609252
"S1288",0.929752587146262,0.903657419360835,0.94752497411728,0.979723497402962,0.989173931331035,0.993318789395281,1,0.894156464855766,0.990840156049642,0.992935914258225,0.61716190137153,0.939774944544839,0.957429118893574,0.909487791913405,0.759764579171638,0.769027148274113,0.728098827313011,0.729055232746031,0.729057921409082,0.729891625148213,0.691176819101871,0.685509890428846,0.777376774534573,0.873578232901003,0.873578232901003,0.729518943547689,0.764384206672042,0.69496209561356,0.759031509555115,0.716915852710019,0.814776338832323,0.666987518045902
"S1397",0.748433194710235,0.99950103495002,0.75331411508972,0.8402027321901,0.861215490676298,0.873082607806112,0.894156464855766,1,0.869879396731294,0.911940868587714,0.411001480187818,0.941819165792048,0.946772585369675,0.984388836393601,0.949950388860916,0.969435927645879,0.953347183894165,0.953521338136642,0.95536442678843,0.953464163159003,0.927497629584814,0.892834622266423,0.96875184984184,0.991769736813861,0.991769736813861,0.948781807059186,0.966876626032432,0.896111593448941,0.869771602277976,0.945792323630583,0.980231575615974,0.897937171957308
"S1427",0.929645178250121,0.879153867755123,0.958538206998646,0.977401526538082,0.988499668517167,0.995550483867428,0.990840156049642,0.869879396731294,1,0.991670623229827,0.601360954139796,0.940865134389207,0.944346172239495,0.902308270130089,0.728904008490366,0.745351926419296,0.697523261725089,0.700699939318112,0.700902694415212,0.703324239479106,0.655181740505995,0.638734146463099,0.749703706481797,0.852359587627824,0.852359587627824,0.699276615102584,0.737347881785556,0.641225346285248,0.720303623268935,0.682822341714331,0.79309667937102,0.625665404537957
"S1438",0.914980544281394,0.920555362040839,0.942269141072262,0.971728665672621,0.982404356319516,0.987399280376575,0.992935914258225,0.911940868587714,0.991670623229827,1,0.56359514730847,0.941196346494104,0.95113937829128,0.932882394800844,0.782859705016237,0.805916020483873,0.764400337222156,0.765090805379795,0.764853165304323,0.76560409309101,0.720042555433651,0.710446453465483,0.807575611487517,0.891682682762546,0.891682682762546,0.763492620031267,0.79979444421675,0.694901000935022,0.766850804921282,0.751738620560359,0.836006312966781,0.681108199886952
"S1542",0.80327296418407,0.422306298443031,0.735817339807484,0.718089654975624,0.673031489536995,0.626231620171756,0.61716190137153,0.411001480187818,0.601360954139796,0.56359514730847,1,0.576844866493583,0.576306081981355,0.38565975546308,0.23098331847381,0.240436232596819,0.209661156650209,0.203179487750582,0.211729592043648,0.200539720357746,0.174606114248911,0.320772967309352,0.249757315237355,0.401004983410278,0.401004983410278,0.25132178302928,0.216757092138002,0.387773372112975,0.573839729713994,0.210298039668195,0.344620941865801,0.270867580496651
"S1917",0.849168839263567,0.943004648427728,0.855840166814006,0.914392372837195,0.934332717855375,0.948768330852514,0.939774944544839,0.941819165792048,0.940865134389207,0.941196346494104,0.576844866493583,1,0.987560988130204,0.953828685802182,0.856465372406694,0.856932777872753,0.823074853749101,0.828321326395885,0.831595441435704,0.832992624847959,0.796066468976635,0.758403466833246,0.859075731671278,0.944974385708169,0.944974385708169,0.826779483092051,0.846391921797214,0.808706899259101,0.822196975349188,0.811948979501461,0.919749455623229,0.795528046569205
"S2081",0.852013422965786,0.950012264941609,0.86220869757744,0.923857510350567,0.937889886188525,0.957628563495471,0.957429118893574,0.946772585369675,0.944346172239495,0.95113937829128,0.576306081981355,0.987560988130204,1,0.951762423693405,0.860369651598443,0.854686795887387,0.824727037399634,0.829223259118431,0.825918141057152,0.8329305043498,0.795900363032627,0.762199124042742,0.863620829219561,0.945673419114131,0.945673419114131,0.822956096017881,0.846009179765345,0.812229451134804,0.828689295485112,0.81671618780821,0.912863846770673,0.791546732862566
"S2172",0.774801177874344,0.984255911502032,0.790759980619871,0.865269039096972,0.883425068503441,0.898659117000789,0.909487791913405,0.984388836393601,0.902308270130089,0.932882394800844,0.38565975546308,0.953828685802182,0.951762423693405,1,0.909684962551488,0.945658634257279,0.925612204991238,0.927422519724988,0.920922339963392,0.92857629392775,0.8736400194539,0.811102145065433,0.935283262803435,0.973379129375663,0.973379129375663,0.904601856135621,0.941823625292725,0.81459387172509,0.810535337790838,0.901904923112165,0.953857114244589,0.824196565458393
"S2292",0.556802745853577,0.943375128478342,0.559677869037436,0.667238272630278,0.715089683685807,0.741634593435381,0.759764579171638,0.949950388860916,0.728904008490366,0.782859705016237,0.23098331847381,0.856465372406694,0.860369651598443,0.909684962551488,1,0.97109067109623,0.962194810754407,0.965866164073433,0.975647689583026,0.968335599771996,0.982638162985988,0.927950037956612,0.97651191082726,0.970131955324926,0.970131955324926,0.975748817424098,0.973161982503302,0.929616511095782,0.838984030089341,0.977165708770975,0.98092037914643,0.960499843907538
