"","S1133","S1157","S1159","S2247","S2252","S2257","S2290","S3715","S3723","S4684","S4690","S4692","S4693","S4707","S4723","S5017","S5513","S810","S811","S813","S819","S892","S894","S903"
"S1133",1,-0.217018473191262,-0.0441454096696315,-0.229818250560184,-0.0449335444204502,0.14347145162738,-0.228191881172893,-0.450849718993706,-0.0142637022584782,0.463067713863463,-0.182797640474761,0.267923545427651,-0.041935329206459,-0.195850104672297,-0.195976515678504,0.23603177730736,-0.157220385180229,0.114347007661273,0.251221618413465,-0.232078886969735,-0.116602592612092,-0.516299160782961,0.255363361296313,-0.654978861419837
"S1157",-0.217018473191262,1,-0.675890251338681,-0.295398417008772,0.280410406847558,0.165410643418406,-0.195511205155164,0.324363501347739,-0.0841961872502301,0.235452222548798,-0.0324891336212323,-0.502324888688631,0.257240259541643,-0.151344343597094,-0.118398766763226,0.431267072730408,0.0239001661404528,0.502083813371006,-0.275811879754379,0.520842965019566,-0.453057867811214,0.103284870559878,-0.939018121718892,0.0265390648902009
"S1159",-0.0441454096696315,-0.675890251338681,1,0.210127251360778,-0.377359516473095,-0.247611332129027,0.274634904025402,0.221462823297183,0.23680176237186,0.143179566417519,0.288064227964727,0.0501525913409199,-0.16009414826117,0.0430745648883889,0.0410399163733942,-0.232112847065072,0.171279829352153,-0.30873824628959,0.665865464760324,-0.661651497885685,0.555504085837213,0.0361818735374976,0.726209509930883,0.139269659689689
"S2247",-0.229818250560184,-0.295398417008772,0.210127251360778,1,-0.418247864829585,-0.0280101101654386,-0.0113610536289055,-0.187253029483699,0.318923053771788,-0.578318918134248,0.459371774544849,0.220109926097873,-0.62891773173045,-0.0613178875285705,0.49534919573625,0.248654963694496,0.258735263767085,-0.0649111152511397,-0.180563901608674,-0.412024817414436,0.39458275928358,-0.540586457742946,0.273763624782228,-0.392720885306452
"S2252",-0.0449335444204502,0.280410406847558,-0.377359516473095,-0.418247864829585,1,-0.449379185835485,-0.377366402831752,-0.211221918058311,-0.841925761499752,-0.1557777274552,-0.460386029344406,0.275043343647935,0.301201818126589,0.594083560249599,-0.073259806854764,0.0292664263150476,0.180601789787418,0.629464251549364,-0.492625188350162,0.691967217005468,-0.692543029519361,0.44329010197333,-0.20989184446761,0.451966607093513
"S2257",0.14347145162738,0.165410643418406,-0.247611332129027,-0.0280101101654386,-0.449379185835485,1,-0.0789349275650784,0.28868204916786,0.303299351531511,0.388582521021279,-0.0078095544456323,0.141152840798625,0.426766945021327,-0.4743497211424,-0.304608553756189,0.0619119781721144,-0.356938308567688,-0.0164584550174438,-0.0339827380174462,-0.224729819795873,0.313411052235582,-0.520510451877886,-0.176772460661874,-0.265220642908146
"S2290",-0.228191881172893,-0.195511205155164,0.274634904025402,-0.0113610536289055,-0.377366402831752,-0.0789349275650784,1,0.42907746240345,0.478667422529644,-0.253575404310689,0.281748759298152,-0.190928773266713,-0.330580986687318,-0.436875552673158,-0.442867891246665,-0.579748251203226,0.437026271599192,-0.503420462920821,0.476511223936893,-0.516129240103229,0.251990467578339,0.277597171786278,-0.0944659834080002,0.0647351364152577
"S3715",-0.450849718993706,0.324363501347739,0.221462823297183,-0.187253029483699,-0.211221918058311,0.28868204916786,0.42907746240345,1,0.267232478557953,0.294716482179722,0.226209388996117,-0.337391022162234,0.443494554855845,-0.258405236231026,-0.456413463497881,-0.208901997074349,0.265766281106596,0.107687351881217,0.430869897786519,-0.285760766414751,0.343457473306296,0.266176506471059,-0.361753403264754,0.250618679452802
"S3723",-0.0142637022584782,-0.0841961872502301,0.23680176237186,0.318923053771788,-0.841925761499752,0.303299351531511,0.478667422529644,0.267232478557953,1,0.0580529370264473,0.798802245872855,-0.514370965658348,-0.314775245451494,-0.851066129735255,-0.23280860743554,0.193695584012025,-0.217852571157968,-0.52977009874127,0.314225494653934,-0.592821329445052,0.741420378286994,-0.299137706563999,-0.000896802651552665,-0.34727618322215
"S4684",0.463067713863463,0.235452222548798,0.143179566417519,-0.578318918134248,-0.1557777274552,0.388582521021279,-0.253575404310689,0.294716482179722,0.0580529370264473,1,-0.158691681448016,-0.274636874569239,0.52256279026614,-0.195559897631905,-0.26337111701837,0.211417929567267,-0.337357360590756,0.142854554961423,0.520970183224776,-0.0875924253270851,0.0206573578015218,-0.131825338346239,-0.0574971122585842,-0.122642260615982
