"","S10015","S10038","S11887","S11924","S11928","S12211","S12290","S12298","S12306","S12317"
"S10015",1,0.177267657920128,-0.479160811807892,0.404997010688437,-0.254623087764224,0.607138776268136,0.718800121054197,-0.535413249057162,0.409642403728319,0.305117604832183
"S10038",0.177267657920128,1,0.191774096129583,0.7231466115934,0.454955267984738,0.298750089186122,0.503751980502519,-0.427305781675033,0.142675141173525,0.222727403482543
"S11887",-0.479160811807892,0.191774096129583,1,0.122887689566924,0.847679875665524,-0.192890207519256,-0.16041826963929,0.211582192881477,-0.0767334476341554,0.0445172719730412
"S11924",0.404997010688437,0.7231466115934,0.122887689566924,1,0.434130537056194,0.319637287377052,0.701776849946096,-0.144511842315925,0.494114925088466,0.283601316132311
"S11928",-0.254623087764224,0.454955267984738,0.847679875665524,0.434130537056194,1,0.0791640096582341,-0.00942441410561932,-0.121053092248802,0.12367939869684,0.0621510445478134
"S12211",0.607138776268136,0.298750089186122,-0.192890207519256,0.319637287377052,0.0791640096582341,1,0.632541301552417,-0.61234292976434,0.522795882657068,0.582253881750293
"S12290",0.718800121054197,0.503751980502519,-0.16041826963929,0.701776849946096,-0.00942441410561932,0.632541301552417,1,-0.347245069368458,0.330388181500692,0.37507032115907
"S12298",-0.535413249057162,-0.427305781675033,0.211582192881477,-0.144511842315925,-0.121053092248802,-0.61234292976434,-0.347245069368458,1,0.00305546417698538,0.109140333895452
"S12306",0.409642403728319,0.142675141173525,-0.0767334476341554,0.494114925088466,0.12367939869684,0.522795882657068,0.330388181500692,0.00305546417698538,1,0.662709826275765
"S12317",0.305117604832183,0.222727403482543,0.0445172719730412,0.283601316132311,0.0621510445478134,0.582253881750293,0.37507032115907,0.109140333895452,0.662709826275765,1
