"","S7362","S7410","S7415","S7453","S7457","S7498","S7509","S7517","S7526","S7531","S7533","S7545","S7547","S7548","S7552","S7568","S7592","S7626","S7633"
"S7362",1,0.382691878208872,-0.220234688398603,0.216540811430596,0.0895444286386263,0.526864798306816,0.190857134116077,-0.211633247403334,-0.164081798976898,0.055321647387659,-0.278648363186629,-0.560041497974449,0.0284308611288556,-0.279106256832913,-0.47228090389997,-0.180942060251879,-0.0940902704368413,-0.480420610375027,0.110327194986526
"S7410",0.382691878208872,1,0.197395762297972,0.739733035663305,0.198762026696835,0.854468041994385,0.345542523201426,-0.169671287802404,0.164602505498343,-0.0125694744326208,-0.0540444563591528,-0.215028950922594,-0.0200356536879466,0.386816163354587,-0.196070678366849,0.190082527378097,-0.257566351511726,0.392171928623424,0.638446711516734
"S7415",-0.220234688398603,0.197395762297972,1,0.166653615998399,0.393887047544595,0.090744722978049,0.52906354429838,0.346312061972478,0.880424374768697,0.228624786573669,0.321350945913486,0.457607407905195,0.762462352113427,0.392493663604802,0.481142760116684,0.719320880629126,0.187380965659148,0.0617877948114052,0.335996665744443
"S7453",0.216540811430596,0.739733035663305,0.166653615998399,1,0.650019685116675,0.43213183363802,0.543902167196914,-0.0175715882084473,0.28240450389088,0.0180480378170662,0.0117242750825059,0.0454177807250162,-0.190383512201343,0.496999807602392,-0.0822622711297226,0.159558305362436,-0.38914106035161,0.382367184000826,0.52879044190529
"S7457",0.0895444286386263,0.198762026696835,0.393887047544595,0.650019685116675,1,-0.0567224188125559,0.583564355902813,0.280143480429147,0.454323816140163,-0.230815122167092,0.145829915940345,0.445463666816151,0.0947179305844297,0.229973433685953,-0.100862088234463,0.49526550949174,-0.333531141981569,0.138682657871488,0.176247059703872
"S7498",0.526864798306816,0.854468041994385,0.090744722978049,0.43213183363802,-0.0567224188125559,1,0.375999508691768,-0.040566331374369,0.100054265543347,0.0114600005427875,-0.0219008010035074,-0.177243097692471,-0.00675903798261489,0.164453432126404,-0.407192303411799,0.168867086000256,0.0295525663577319,0.282798204892632,0.667895693490063
"S7509",0.190857134116077,0.345542523201426,0.52906354429838,0.543902167196914,0.583564355902813,0.375999508691768,1,0.500331714907947,0.809810278110456,0.208620848305204,0.454145346599581,0.486273381377655,0.382409600383071,0.485892826507655,0.0082350387707212,0.542176880243718,0.185768665050928,0.104038272195365,0.585548885656294
"S7517",-0.211633247403334,-0.169671287802404,0.346312061972478,-0.0175715882084473,0.280143480429147,-0.040566331374369,0.500331714907947,1,0.485312962896113,0.11904478887792,0.886447994357762,0.809355564963581,0.315364947150897,0.428728374045578,-0.127985962613937,0.29072660638155,0.588771067012386,0.098053844308578,-0.198837189114687
"S7526",-0.164081798976898,0.164602505498343,0.880424374768697,0.28240450389088,0.454323816140163,0.100054265543347,0.809810278110456,0.485312962896113,1,0.359103725539284,0.51694204337299,0.549116673606047,0.741706697897265,0.575351500916428,0.470326373607644,0.69969986211622,0.301662965873466,0.0187668264331459,0.429504657465014
"S7531",0.055321647387659,-0.0125694744326208,0.228624786573669,0.0180480378170662,-0.230815122167092,0.0114600005427875,0.208620848305204,0.11904478887792,0.359103725539284,1,0.265397061199813,-0.0857640286796059,0.443517025598433,0.520920669848081,0.660019873484029,0.0205664630573694,0.686567651247797,-0.529913537978273,0.0510318676509625
