"","S6785","S6791","S6793","S6795","S6796","S6797","S6798","S6806","S6816","S6821","S6835","S6836","S6861","S6862","S6866","S6867","S6872","S6931","S6955","S7041","S7054"
"S6785",1,0.220391344722493,-0.222195605995192,0.0491038878068055,-0.291284456218705,-0.368550023885066,0.164261915792818,-0.144534904505682,NA,0.363252787732965,-0.496034639962722,0.449339211736726,-0.0447034480657433,-0.187275293448564,-0.262081975858438,0.0995232796322946,0.12503905131472,-0.427943992415576,-0.138061176925263,-0.333274901827942,-0.00666665474404197
"S6791",0.220391344722493,1,0.15756341449294,0.209087401443054,0.641405522235453,-0.37196832302318,0.304258802520823,0.173515429233923,NA,-0.0381857711419899,0.570139063727596,0.36527209766792,0.327132455124669,-0.113528371291085,0.25917964736752,0.314196378266477,0.354920087548657,-0.803601996794806,-0.0703472375119951,-0.473533697846271,-0.217194625446078
"S6793",-0.222195605995192,0.15756341449294,1,-0.0682568251171689,0.557255935153209,0.281574205194384,0.33639319293099,0.135679490501445,NA,0.308335107660453,0.381694077686997,0.5756316557191,0.630298495113484,0.17596552598795,0.288440752316593,-0.0613142662410434,-0.357272817697718,0.0760499341875747,0.113057833922223,0.415748308257474,-0.0605089756417835
"S6795",0.0491038878068055,0.209087401443054,-0.0682568251171689,1,-0.032015115267497,-0.239055236117912,-0.111111111111111,0.491601831434688,NA,-0.262297185713682,0.249816606948526,-0.0677050677973757,0.242480585804151,-0.0209806043684313,-0.589052202867523,-0.0218867750343309,0.227585961257032,-0.142968903917278,-0.460559624726298,-0.133656705342762,-0.0945089119189225
"S6796",-0.291284456218705,0.641405522235453,0.557255935153209,-0.032015115267497,1,0.101152451174277,0.173282221399868,-0.0153666087110429,NA,0.270158487718513,0.65129956896127,0.354671584935823,0.509382641801489,0.06984387714323,0.570585756869545,0.479560687335288,0.210501693873286,-0.371830646106616,-0.129645709394846,-0.163844873718522,-0.282317772695952
"S6797",-0.368550023885066,-0.37196832302318,0.281574205194384,-0.239055236117912,0.101152451174277,1,-0.125022681714546,-0.151748873016414,NA,-0.076297556029302,-0.164908015121071,-0.188604183448509,0.238710421832762,0.51826461461769,-0.217599558524375,0.0639784116131864,-0.163666541089095,0.741791162490531,-0.299973600651126,0.479081035578647,0.383831705580808
"S6798",0.164261915792818,0.304258802520823,0.33639319293099,-0.111111111111111,0.173282221399868,-0.125022681714546,1,-0.337626400806918,NA,-0.0899792029483501,0.0907813177213483,0.105874598199558,-0.320126463009007,-0.25814927634338,0.164573118910246,-0.400211189019629,-0.675999086393846,-0.419643883953436,-0.216638476790065,0.276169154935091,-0.230058995876051
"S6806",-0.144534904505682,0.173515429233923,0.135679490501445,0.491601831434688,-0.0153666087110429,-0.151748873016414,-0.337626400806918,1,NA,0.0144132153052243,0.379405946487272,0.331314175843243,0.450438643210145,0.446895879669288,-0.19030043276613,-0.364062706165905,0.104274882758813,0.0653305845702771,0.401989551467003,0.230797160551748,-0.356089857903528
"S6816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S6821",0.363252787732965,-0.0381857711419899,0.308335107660453,-0.262297185713682,0.270158487718513,-0.076297556029302,-0.0899792029483501,0.0144132153052243,NA,1,-0.175035378287615,0.752317240814502,0.277539977574124,0.150246018444382,0.394208618191785,0.160030122750514,-0.00396368502529433,-0.0828346796610223,0.191139209800942,0.0645958778218707,-0.517089720525433
"S6835",-0.496034639962722,0.570139063727596,0.381694077686997,0.249816606948526,0.65129956896127,-0.164908015121071,0.0907813177213483,0.379405946487272,NA,-0.175035378287615,1,0.18168941914099,0.278984265551061,-0.240800750981197,0.488534686539488,0.022433489743176,0.243491918332899,-0.23961745533041,0.0952509283171811,-0.204737632455157,-0.294677827646506
"S6836",0.449339211736726,0.36527209766792,0.5756316557191,-0.0677050677973757,0.354671584935823,-0.188604183448509,0.105874598199558,0.331314175843243,NA,0.752317240814502,0.18168941914099,1,0.543259655065166,0.0776059125907022,0.329739469161408,0.00328962385148757,0.0250388112661003,-0.263287281618359,0.308284256205941,0.0102235969857252,-0.404047356390992
"S6861",-0.0447034480657433,0.327132455124669,0.630298495113484,0.242480585804151,0.509382641801489,0.238710421832762,-0.320126463009007,0.450438643210145,NA,0.277539977574124,0.278984265551061,0.543259655065166,1,0.459624633994883,-0.0636798970160718,0.41129631897846,0.316163150096852,0.0235737594982925,0.0887688680927703,0.00469559866402136,0.1522715509321
