"","S4128","S4129","S4130","S4201","S4207","S4210","S4223","S4233","S4234","S4239","S4241","S4244","S4248","S4255","S4265","S4283","S4284","S4291"
"S4128",1,0.0731764313513915,-0.316712609206427,-0.0570156516635246,0.713210352554782,-0.0616562026335529,NA,0.514893017286183,0.200217384911371,-0.263402714515208,0.43311720353972,0.282630391207571,-0.355057977639502,-0.130502476497251,0.316116717962696,0.0465486669468537,0.213418956470225,0.626879684222444
"S4129",0.0731764313513915,1,-0.185468107752476,0.255377523915538,0.117906198123377,-0.366420998392989,NA,-0.205351273114736,0.294157758222153,-0.143927098318686,-0.185749677443226,-0.182301810622005,0.675422854712552,-0.240258926170164,0.110386574389402,0.460164618538911,-0.156232509258034,-0.19738744563721
"S4130",-0.316712609206427,-0.185468107752476,1,0.282957772097699,0.0515261930728123,0.410060507353461,NA,-0.0706901345682363,0.397917244246066,0.956623805148274,-0.177687955865308,-0.205952625604774,-0.204801155670648,0.669370305956183,0.163505240246361,-0.226309315132523,0.391036688630579,-0.350348980554984
"S4201",-0.0570156516635246,0.255377523915538,0.282957772097699,1,0.504197756590363,0.22617276218951,NA,0.207381375293902,0.0416031434435578,0.152683996185022,-0.0621084020167655,0.109765147134189,0.162097116293378,0.312288862654006,0.0348852947198953,0.226729557779194,0.362168558646199,0.20645813325526
"S4207",0.713210352554782,0.117906198123377,0.0515261930728123,0.504197756590363,1,0.0351981853536913,NA,0.439468170361359,0.0549970221416446,0.0318562981284065,0.608052566822706,0.12832562810284,-0.0590396161654503,0.359162139496017,0.453902643549038,-0.172480468350299,0.347042811838663,0.692071298283215
"S4210",-0.0616562026335529,-0.366420998392989,0.410060507353461,0.22617276218951,0.0351981853536913,1,NA,0.627790635674022,0.0228848497547003,0.495490757964021,-0.226114484467261,0.662338346993222,-0.288405408958437,0.559724278464677,0.183690672723491,-0.156395894003539,0.904282765227672,0.0683022419443185
"S4223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S4233",0.514893017286183,-0.205351273114736,-0.0706901345682363,0.207381375293902,0.439468170361359,0.627790635674022,NA,1,0.169528484334664,-0.0437401396310954,0.186639748306394,0.706984073259352,-0.43456633916257,0.296011763406194,0.470548623896154,-0.242496735647859,0.725680681310467,0.276048305652317
"S4234",0.200217384911371,0.294157758222153,0.397917244246066,0.0416031434435578,0.0549970221416446,0.0228848497547003,NA,0.169528484334664,1,0.411980128138362,-0.136380897100828,-0.294365953109899,-0.359742321332603,0.0630366611740885,0.263779028622692,0.275691895024818,0.054513724831215,-0.421066060506164
"S4239",-0.263402714515208,-0.143927098318686,0.956623805148274,0.152683996185022,0.0318562981284065,0.495490757964021,NA,-0.0437401396310954,0.411980128138362,1,-0.125753606552531,-0.150616117812293,-0.14977403128513,0.693450099134051,0.198001722117703,-0.216215456966662,0.451601786054801,-0.302543120216664
"S4241",0.43311720353972,-0.185749677443226,-0.177687955865308,-0.0621084020167655,0.608052566822706,-0.226114484467261,NA,0.186639748306394,-0.136380897100828,-0.125753606552531,1,-0.160343895332074,-0.0298048399609065,0.264121665294589,0.34741552837352,-0.53097732941841,-0.141551060354036,0.527271408012033
"S4244",0.282630391207571,-0.182301810622005,-0.205952625604774,0.109765147134189,0.12832562810284,0.662338346993222,NA,0.706984073259352,-0.294365953109899,-0.150616117812293,-0.160343895332074,1,-0.20302544827137,-0.0270583676372083,-0.0663034607124047,-0.0404326496159407,0.744355173116609,0.262741487497057
"S4248",-0.355057977639502,0.675422854712552,-0.204801155670648,0.162097116293378,-0.0590396161654503,-0.288405408958437,NA,-0.43456633916257,-0.359742321332603,-0.14977403128513,-0.0298048399609065,-0.20302544827137,1,0.0371987525522196,0.0896617734261188,0.030371273640114,-0.217042585925391,-0.0818576116983229
"S4255",-0.130502476497251,-0.240258926170164,0.669370305956183,0.312288862654006,0.359162139496017,0.559724278464677,NA,0.296011763406194,0.0630366611740885,0.693450099134051,0.264121665294589,-0.0270583676372083,0.0371987525522196,1,0.666194749740411,-0.612473367389872,0.553381276661987,0.0731335017296212
"S4265",0.316116717962696,0.110386574389402,0.163505240246361,0.0348852947198953,0.453902643549038,0.183690672723491,NA,0.470548623896154,0.263779028622692,0.198001722117703,0.34741552837352,-0.0663034607124047,0.0896617734261188,0.666194749740411,1,-0.547230934891345,0.318759589518839,0.0821282424353911
"S4283",0.0465486669468537,0.460164618538911,-0.226309315132523,0.226729557779194,-0.172480468350299,-0.156395894003539,NA,-0.242496735647859,0.275691895024818,-0.216215456966662,-0.53097732941841,-0.0404326496159407,0.030371273640114,-0.612473367389872,-0.547230934891345,1,-0.178022379412539,0.00951941489963932
"S4284",0.213418956470225,-0.156232509258034,0.391036688630579,0.362168558646199,0.347042811838663,0.904282765227672,NA,0.725680681310467,0.054513724831215,0.451601786054801,-0.141551060354036,0.744355173116609,-0.217042585925391,0.553381276661987,0.318759589518839,-0.178022379412539,1,0.187556522459823
"S4291",0.626879684222444,-0.19738744563721,-0.350348980554984,0.20645813325526,0.692071298283215,0.0683022419443185,NA,0.276048305652317,-0.421066060506164,-0.302543120216664,0.527271408012033,0.262741487497057,-0.0818576116983229,0.0731335017296212,0.0821282424353911,0.00951941489963932,0.187556522459823,1
