"","S1041","S1060","S1081","S1100","S1111","S1121","S1129","S1173","S1191","S1208","S1213","S1215","S1266"
"S1041",1,-0.649641974497665,0.0432941255800469,0.473122398929618,0.0843535783545497,0.472848839556659,0.330456420380946,0.477426048108949,0.0718769292242336,0.823828323890002,0.0522123805553339,0.252521397023713,0.300071259822286
"S1060",-0.649641974497665,1,0.472050217981567,-0.599038674205051,-0.136075869394346,-0.526763630851134,-0.353953123037692,-0.27747145269584,-0.0430962669966871,-0.345251692907642,-0.273886881889917,0.425133223283584,-0.272314592601771
"S1081",0.0432941255800469,0.472050217981567,1,-0.306383913895454,-0.0887115534389159,-0.353280524781935,-0.229898239756001,0.123947221055649,0.113892575014712,0.021624860841152,-0.507781174028929,0.500765952543368,-0.115732612646355
"S1100",0.473122398929618,-0.599038674205051,-0.306383913895454,1,0.224434018853363,0.473727642369144,0.54101823090156,0.0478541169401651,-0.138479106614649,0.279431456653049,0.696598890245911,-0.0653889143617371,0.307930929686698
"S1111",0.0843535783545497,-0.136075869394346,-0.0887115534389159,0.224434018853363,1,0.80951256734586,0.557323421996453,0.166171388275443,0.405344907126876,0.119841709463073,0.193488303718293,0.337492924616022,0.519716891129197
"S1121",0.472848839556659,-0.526763630851134,-0.353280524781935,0.473727642369144,0.80951256734586,1,0.803334690910086,0.510852985551182,0.371080255257375,0.410137310937824,0.470919015910869,0.228144307525063,0.615160545116181
"S1129",0.330456420380946,-0.353953123037692,-0.229898239756001,0.54101823090156,0.557323421996453,0.803334690910086,1,0.507924886704528,0.321214244814908,0.410076937521879,0.723346161223311,0.167500934039304,0.761389352111211
"S1173",0.477426048108949,-0.27747145269584,0.123947221055649,0.0478541169401651,0.166171388275443,0.510852985551182,0.507924886704528,1,0.208034122604058,0.295164352036476,0.261397999276509,0.315846639949677,0.285437104136636
"S1191",0.0718769292242336,-0.0430962669966871,0.113892575014712,-0.138479106614649,0.405344907126876,0.371080255257375,0.321214244814908,0.208034122604058,1,0.0950393373804101,-0.199665308144156,-0.100728282519459,-0.0487208967326295
"S1208",0.823828323890002,-0.345251692907642,0.021624860841152,0.279431456653049,0.119841709463073,0.410137310937824,0.410076937521879,0.295164352036476,0.0950393373804101,1,0.0713799305600559,0.35105238220659,0.533474748526347
"S1213",0.0522123805553339,-0.273886881889917,-0.507781174028929,0.696598890245911,0.193488303718293,0.470919015910869,0.723346161223311,0.261397999276509,-0.199665308144156,0.0713799305600559,1,-0.0502616286964497,0.456474858287485
"S1215",0.252521397023713,0.425133223283584,0.500765952543368,-0.0653889143617371,0.337492924616022,0.228144307525063,0.167500934039304,0.315846639949677,-0.100728282519459,0.35105238220659,-0.0502616286964497,1,0.275707008504861
"S1266",0.300071259822286,-0.272314592601771,-0.115732612646355,0.307930929686698,0.519716891129197,0.615160545116181,0.761389352111211,0.285437104136636,-0.0487208967326295,0.533474748526347,0.456474858287485,0.275707008504861,1
