"","S1177","S1193","S1242","S1249","S1251","S1277","S1288","S1397","S1427","S1438","S1542","S1917","S2081","S2172","S2292","S2432","S2445","S2463","S2478","S2580","S2581","S2611","S2628","S2709","S2715","S2723","S2740","S2768","S2783","S2803","S2813","S2855"
"S1177",1,-0.156897201027855,0.221952874350144,0.648807611098832,0.314166428110282,0.0701771943112427,-0.311217394372704,NA,-0.225565174378234,-0.25945600583577,0.519059219717746,0.268125688325516,-0.211862006577541,0.190310948802782,-0.203672662409588,0.0184835971921536,0.143212887911322,-0.0270113262997401,-0.726683958375289,-0.167618927179435,0.278885279371909,-0.440480891318353,-0.319018224360098,-0.0499193479678106,0.143936744279604,0.379458487885839,0.062420104168198,0.399984514147242,0.660797048812748,0.396037025594464,0.115940828474691,-0.0110092030272643
"S1193",-0.156897201027855,1,0.15072984362004,-0.403047263092602,-0.517711902104716,0.185448834668587,0.375865101740066,NA,-0.276326336872244,-0.0685256083113195,-0.260869441435858,-0.336328905201324,0.0649617734040521,0.440523776424745,0.666156765521067,-0.885294655283801,0.0171009862124045,-0.374371604124604,0.0730793758745405,-0.265399199874665,-0.0814649508839456,1.62998929845209e-05,0.841206643094991,0.228252464385518,-0.365268843800699,-0.251353463017722,-0.179943024207113,0.468716848257275,-0.186049297615025,-0.0779302100419582,-0.353802921713315,0.439689717994778
"S1242",0.221952874350144,0.15072984362004,1,0.58945758025409,-0.284368458995841,0.0688832784090416,-0.0162590557631531,NA,-0.461838284267817,0.24620885253879,0.399428585237667,-0.169923061650374,0.272241502802461,0.621289999107068,0.0258601319275185,-0.108136792121205,0.0324166545767932,0.346742142308819,-0.657021327465904,0.200046110272248,0.770043131540742,-0.811807117410101,-0.165243553686488,0.0611615744729157,0.25572312215023,0.0108425370890989,0.384538664170871,0.198384410012522,0.41387462200053,0.229764194176019,-0.130406562548405,0.102377467586356
"S1249",0.648807611098832,-0.403047263092602,0.58945758025409,1,0.194325138313439,-0.144385769432339,-0.135517748550461,NA,-0.0121476951498246,-0.0169678161568029,0.536927869151429,0.385743705546101,-0.0432152195983117,0.360513882718827,-0.37043913815091,0.342023933376406,-0.267601352845265,0.308321640579141,-0.728125996251251,0.402644809906442,0.479219392256811,-0.804925778917463,-0.519912919325267,-0.180907037275589,0.215814615789716,0.441614652564354,0.131483765092515,0.164042759435086,0.485350772399715,0.122872913913146,-0.0864639079334659,-0.322415480433076
"S1251",0.314166428110282,-0.517711902104716,-0.284368458995841,0.194325138313439,1,0.0119154918566075,-0.459243922313716,NA,-0.00895095621608323,-0.0263656492351019,0.542845506483454,0.228795280213997,0.104403640531224,-0.0615927334679864,-0.744339813092689,0.386305131957726,-0.00570922564943267,0.356577579313905,0.119318146886983,0.363884327345763,-0.0442010311655288,-0.0974618898941908,-0.584613920016051,0.0751977151222788,0.264464301576542,0.513595321685009,-0.188278022642575,-0.336529798604568,-0.0261728644632626,0.218558152485621,-0.0763245288839701,-0.4318963719065
"S1277",0.0701771943112427,0.185448834668587,0.0688832784090416,-0.144385769432339,0.0119154918566075,1,-0.619129710994308,NA,-0.469111560219498,0.485614694421381,0.370644286683853,0.0309371996339741,-0.624624501699881,0.433641349484114,-0.389800568696408,-0.0653245288517048,0.712353452827409,0.554719564204142,0.0983759879111603,-0.0473737242770724,0.193653262795787,-0.028920823532697,-0.0299056734829484,0.197159220144601,0.287223533642766,0.395295441773698,0.317667599906093,-0.224851059046957,0.317117665995208,0.495209794143901,0.439495027075934,-0.15132337221181
"S1288",-0.311217394372704,0.375865101740066,-0.0162590557631531,-0.135517748550461,-0.459243922313716,-0.619129710994308,1,NA,0.12527192930786,-0.101982876702309,-0.420728829262236,-0.342840716485929,0.193689304236714,-0.0698799386632692,0.719032775561725,-0.156366675015222,-0.576657615047866,-0.513394456320213,-0.0770041044459216,-0.0573541786389446,-0.183006667893879,-0.0411166107545336,0.593147322923735,0.0240604947921236,-0.617047946621138,-0.52645593746392,-0.129517416580628,0.193811691148038,-0.300268508751787,-0.624278075603826,-0.68350932717934,0.272553279974775
"S1397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S1427",-0.225565174378234,-0.276326336872244,-0.461838284267817,-0.0121476951498246,-0.00895095621608323,-0.469111560219498,0.12527192930786,NA,1,-0.219904328310281,-0.680796497024209,0.390542178198276,0.0279686104603047,-0.615398213125444,0.111509134701885,0.153417309703809,-0.68812931622202,-0.235002785513571,0.467201188547109,0.032209315245017,-0.721778158821109,0.365873109450098,-0.11286357569358,-0.373961047446232,-0.285915302848641,0.0257644081059827,-0.301499491737478,0.224719666466738,-0.330592061664817,-0.645931220209519,-0.078810744734712,-0.408774488735749
"S1438",-0.25945600583577,-0.0685256083113195,0.24620885253879,-0.0169678161568029,-0.0263656492351019,0.485614694421381,-0.101982876702309,NA,-0.219904328310281,1,0.158310706575108,-0.185007905142658,-0.319922940203523,0.103027645691883,-0.204311992565301,0.375197844715734,0.142505443328287,0.80573799786295,0.0543910440883541,-0.0303561578864157,0.224898971915023,-0.264462652743682,-0.286770118608147,-0.0665750963607992,-0.165321178438074,0.230042994644609,0.800467838418314,-0.410245559607421,0.415523093286282,-0.0509739384900433,-0.11220552843601,-0.557890244819482
