"","S3430","S3450","S4299","S4301","S4302","S4313","S4318","S4326","S4330","S4333","S4346","S4356","S4361","S4368","S4370","S4383","S460"
"S3430",1,0.998637268480929,0.990727535652173,0.990042911724352,0.993081030403568,0.997820521532752,0.997137555732909,0.996657806788512,0.991783043903087,0.995023275765405,0.995067311395862,0.990480898502647,0.997253704464427,0.996750953825949,0.999422288650835,0.989227070982496,0.97787828220608
"S3450",0.998637268480929,1,0.99327212423107,0.992238774270367,0.994302958118535,0.998552760147524,0.998121603453176,0.997903054080828,0.99328302498488,0.996910425924002,0.994633812317338,0.984584588085126,0.993769039459014,0.995926931518145,0.999252700749725,0.991330661494091,0.981618230186196
"S4299",0.990727535652173,0.99327212423107,1,0.999511159600611,0.999399947656252,0.996848002046352,0.998116141928021,0.99797457912838,0.999413235734717,0.999160188824269,0.997646580900334,0.982289979384581,0.990026663155028,0.996444016433672,0.993546441207913,0.999559677175374,0.996329459205544
"S4301",0.990042911724352,0.992238774270367,0.999511159600611,1,0.999605216833611,0.99658633291826,0.997511680015139,0.997111777763533,0.99979259239031,0.998680554132854,0.997977907142861,0.98421307215864,0.990545976523568,0.996690983124184,0.99299550025831,0.999444578874986,0.995765156398843
"S4302",0.993081030403568,0.994302958118535,0.999399947656252,0.999605216833611,1,0.998055412637586,0.998760895875148,0.998247011488716,0.999828875877069,0.999256341254925,0.99907351517516,0.986824349121376,0.993363936342159,0.998420082086919,0.995326052622846,0.99932114015809,0.993983997765732
"S4313",0.997820521532752,0.998552760147524,0.996848002046352,0.99658633291826,0.998055412637586,1,0.99962040646705,0.999282982684179,0.997303826806741,0.999016437263355,0.998302836021593,0.98857654432862,0.996002030054847,0.998753373613252,0.999259925208059,0.995810149760382,0.987685936076684
"S4318",0.997137555732909,0.998121603453176,0.998116141928021,0.997511680015139,0.998760895875148,0.99962040646705,1,0.999766218432096,0.998179047532071,0.999608724807788,0.998571270064846,0.987825708051553,0.995232396900885,0.998654754568579,0.998471031515148,0.997045864721421,0.990299075752913
"S4326",0.996657806788512,0.997903054080828,0.99797457912838,0.997111777763533,0.998247011488716,0.999282982684179,0.999766218432096,1,0.997709472954245,0.999439671183525,0.998009027797781,0.987320637394276,0.994667157026465,0.997671643606296,0.998167107972876,0.996540803457053,0.991199310031562
"S4330",0.991783043903087,0.99328302498488,0.999413235734717,0.99979259239031,0.999828875877069,0.997303826806741,0.998179047532071,0.997709472954245,1,0.999074126028899,0.998954844783059,0.986594144670936,0.992652019696035,0.997776344084234,0.99425055067664,0.99948643931483,0.99486039322179
"S4333",0.995023275765405,0.996910425924002,0.999160188824269,0.998680554132854,0.999256341254925,0.999016437263355,0.999608724807788,0.999439671183525,0.999074126028899,1,0.998627016562697,0.985991641397239,0.993580362274217,0.998004410233061,0.997121571329371,0.998330257138128,0.992945568655863
"S4346",0.995067311395862,0.994633812317338,0.997646580900334,0.997977907142861,0.99907351517516,0.998302836021593,0.998571270064846,0.998009027797781,0.998954844783059,0.998627016562697,1,0.991863843244714,0.996897326287047,0.999292494436506,0.996591553153124,0.997843927493529,0.991001862563026
"S4356",0.990480898502647,0.984584588085126,0.982289979384581,0.98421307215864,0.986824349121376,0.98857654432862,0.987825708051553,0.987320637394276,0.986594144670936,0.985991641397239,0.991863843244714,1,0.99720117485562,0.99160319943258,0.989342481778481,0.982701314382902,0.973274949363567
"S4361",0.997253704464427,0.993769039459014,0.990026663155028,0.990545976523568,0.993363936342159,0.996002030054847,0.995232396900885,0.994667157026465,0.992652019696035,0.993580362274217,0.996897326287047,0.99720117485562,1,0.99746301401472,0.99686690027002,0.990059345639484,0.979456711721733
"S4368",0.996750953825949,0.995926931518145,0.996444016433672,0.996690983124184,0.998420082086919,0.998753373613252,0.998654754568579,0.997671643606296,0.997776344084234,0.998004410233061,0.999292494436506,0.99160319943258,0.99746301401472,1,0.99767191762555,0.996661797684431,0.987151443352805
"S4370",0.999422288650835,0.999252700749725,0.993546441207913,0.99299550025831,0.995326052622846,0.999259925208059,0.998471031515148,0.998167107972876,0.99425055067664,0.997121571329371,0.996591553153124,0.989342481778481,0.99686690027002,0.99767191762555,1,0.992165332125124,0.982264365112988
"S4383",0.989227070982496,0.991330661494091,0.999559677175374,0.999444578874986,0.99932114015809,0.995810149760382,0.997045864721421,0.996540803457053,0.99948643931483,0.998330257138128,0.997843927493529,0.982701314382902,0.990059345639484,0.996661797684431,0.992165332125124,1,0.995889672365181
"S460",0.97787828220608,0.981618230186196,0.996329459205544,0.995765156398843,0.993983997765732,0.987685936076684,0.990299075752913,0.991199310031562,0.99486039322179,0.992945568655863,0.991001862563026,0.973274949363567,0.979456711721733,0.987151443352805,0.982264365112988,0.995889672365181,1
