"","S3430","S3450","S4299","S4301","S4302","S4313","S4318","S4326","S4330","S4333","S4346","S4356","S4361","S4368","S4370","S4383","S460"
"S3430",1,0.995700696197565,0.991788460833654,0.990017868890109,0.992530581162622,0.998147506578588,0.996667225639755,0.995919977390116,0.989311250329154,0.995933687039918,0.986690255796745,0.974456007399427,0.987216064733803,0.993038084301265,0.999367634896372,0.98568607430822,0.974657361284267
"S3450",0.995700696197565,1,0.989644628740178,0.983548777641799,0.985812408906911,0.99710430065699,0.997013722783158,0.996289154743109,0.979822099097435,0.995113819836892,0.972795909397058,0.952870089681273,0.97059903117409,0.982865843139182,0.996149120127503,0.977338828606506,0.969409006161536
"S4299",0.991788460833654,0.989644628740178,1,0.998196950594101,0.998463679074361,0.995579143493656,0.996818221758004,0.995732674838674,0.996170758539314,0.998029153401851,0.990350654523795,0.973393965086407,0.984355797431677,0.995476224670128,0.994236270885526,0.995926784483079,0.993580882921796
"S4301",0.990017868890109,0.983548777641799,0.998196950594101,1,0.999678245146356,0.992873734958721,0.99324034018724,0.992274069914121,0.999187239571556,0.995487167757476,0.994988240055591,0.98040696108522,0.989400688143697,0.998043113557292,0.992674988621667,0.998295259770173,0.994215053804136
"S4302",0.992530581162622,0.985812408906911,0.998463679074361,0.999678245146356,1,0.994376789990785,0.994751835871969,0.993932308276996,0.999138175091671,0.996588903758518,0.995308830670356,0.981984382705056,0.990911851771126,0.998699144528125,0.994519659201105,0.997816998359961,0.99323533489242
"S4313",0.998147506578588,0.99710430065699,0.995579143493656,0.992873734958721,0.994376789990785,1,0.999255052094526,0.998452078826218,0.990332376948829,0.998672652436476,0.985420947127123,0.970619854452321,0.983343188803504,0.992836206256755,0.999032678329569,0.987253889452552,0.980177522562859
"S4318",0.996667225639755,0.997013722783158,0.996818221758004,0.99324034018724,0.994751835871969,0.999255052094526,1,0.999669667649067,0.990377944959634,0.9992848288923,0.984131052611427,0.968508887477802,0.981132514708205,0.991786306255971,0.998017967959888,0.987728577208608,0.983772241070425
"S4326",0.995919977390116,0.996289154743109,0.995732674838674,0.992274069914121,0.993932308276996,0.998452078826218,0.999669667649067,1,0.989481132169866,0.998384737212066,0.983233930837907,0.96836374066984,0.980796414301666,0.990627102845195,0.997458399950493,0.986193330157172,0.983354533851634
"S4330",0.989311250329154,0.979822099097435,0.996170758539314,0.999187239571556,0.999138175091671,0.990332376948829,0.990377944959634,0.989481132169866,1,0.992668272763058,0.997947368021312,0.985407322761661,0.99348260434132,0.998800206222269,0.991626778981418,0.998898198319433,0.993723081061491
"S4333",0.995933687039918,0.995113819836892,0.998029153401851,0.995487167757476,0.996588903758518,0.998672652436476,0.9992848288923,0.998384737212066,0.992668272763058,1,0.985924415672954,0.970258099598492,0.981808110616296,0.993761034483455,0.997273398862968,0.990705241950884,0.986316888509803
"S4346",0.986690255796745,0.972795909397058,0.990350654523795,0.994988240055591,0.995308830670356,0.985420947127123,0.984131052611427,0.983233930837907,0.997947368021312,0.985924415672954,1,0.991751326054662,0.998041118858491,0.997707236478091,0.988354924821453,0.99598726264197,0.988156861830652
"S4356",0.974456007399427,0.952870089681273,0.973393965086407,0.98040696108522,0.981984382705056,0.970619854452321,0.968508887477802,0.96836374066984,0.985407322761661,0.970258099598492,0.991751326054662,1,0.995485307758261,0.988138361141818,0.973845997232789,0.979538392719584,0.971942546677413
"S4361",0.987216064733803,0.97059903117409,0.984355797431677,0.989400688143697,0.990911851771126,0.983343188803504,0.981132514708205,0.980796414301666,0.99348260434132,0.981808110616296,0.998041118858491,0.995485307758261,1,0.995391751337715,0.987331984201312,0.989476858467915,0.979110682874579
"S4368",0.993038084301265,0.982865843139182,0.995476224670128,0.998043113557292,0.998699144528125,0.992836206256755,0.991786306255971,0.990627102845195,0.998800206222269,0.993761034483455,0.997707236478091,0.988138361141818,0.995391751337715,1,0.99391274612538,0.996929244987256,0.988523700647063
"S4370",0.999367634896372,0.996149120127503,0.994236270885526,0.992674988621667,0.994519659201105,0.999032678329569,0.998017967959888,0.997458399950493,0.991626778981418,0.997273398862968,0.988354924821453,0.973845997232789,0.987331984201312,0.99391274612538,1,0.988289976720996,0.979492297837329
"S4383",0.98568607430822,0.977338828606506,0.995926784483079,0.998295259770173,0.997816998359961,0.987253889452552,0.987728577208608,0.986193330157172,0.998898198319433,0.990705241950884,0.99598726264197,0.979538392719584,0.989476858467915,0.996929244987256,0.988289976720996,1,0.994532136503711
"S460",0.974657361284267,0.969409006161536,0.993580882921796,0.994215053804136,0.99323533489242,0.980177522562859,0.983772241070425,0.983354533851634,0.993723081061491,0.986316888509803,0.988156861830652,0.971942546677413,0.979110682874579,0.988523700647063,0.979492297837329,0.994532136503711,1
