"","S10015","S10038","S11887","S11924","S11928","S12211","S12290","S12298","S12306","S12317"
"S10015",1,0.999842799083982,0.999668307153468,0.999889069543107,0.999731524668896,0.999874651678452,0.999889069543107,0.999950065215677,0.999950065215677,0.999889069543107
"S10038",0.999842799083982,1,0.999859141679518,0.999781002299699,0.999942920751519,0.999753269316706,0.999781002299699,0.999879119619347,0.999879119619347,0.999781002299699
"S11887",0.999668307153468,0.999859141679518,1,0.9995248094292,0.999871939441815,0.99942177192497,0.9995248094292,0.999714958487908,0.999714958487908,0.9995248094292
"S11924",0.999889069543107,0.999781002299699,0.9995248094292,1,0.999663511011497,0.999907585299013,1,0.999833784053054,0.999833784053054,1
"S11928",0.999731524668896,0.999942920751519,0.999871939441815,0.999663511011497,1,0.999670494092714,0.999663511011497,0.999841368168476,0.999841368168476,0.999663511011497
"S12211",0.999874651678452,0.999753269316706,0.99942177192497,0.999907585299013,0.999670494092714,1,0.999907585299013,0.999892165727537,0.999892165727537,0.999907585299013
"S12290",0.999889069543107,0.999781002299699,0.9995248094292,1,0.999663511011497,0.999907585299013,1,0.999833784053054,0.999833784053054,1
"S12298",0.999950065215677,0.999879119619347,0.999714958487908,0.999833784053054,0.999841368168476,0.999892165727537,0.999833784053054,1,1,0.999833784053054
"S12306",0.999950065215677,0.999879119619347,0.999714958487908,0.999833784053054,0.999841368168476,0.999892165727537,0.999833784053054,1,1,0.999833784053054
"S12317",0.999889069543107,0.999781002299699,0.9995248094292,1,0.999663511011497,0.999907585299013,1,0.999833784053054,0.999833784053054,1
