"","S7362","S7410","S7415","S7453","S7457","S7498","S7509","S7517","S7526","S7531","S7533","S7545","S7547","S7548","S7552","S7568","S7592","S7626","S7633"
"S7362",1,0.999879212150812,0.999911045985274,0.999781969558549,0.999826177469118,0.999826177469118,0.999956913965457,0.999812311632614,0.999777321827364,0.999698060294269,0.999698060294269,0.999698060294269,0.999618411974999,0.999618411974999,0.999413785437538,0.999618411974999,0.999514378458481,0.999605405000433,0.99937783977674
"S7410",0.999879212150812,1,0.999932334753928,0.999805328694929,0.999807262778513,0.999807262778513,0.999883211525222,0.99976675645177,0.999711391079624,0.999600780955347,0.999600780955347,0.999600780955347,0.999641921073726,0.999641921073726,0.999486440977305,0.999641921073726,0.999564320340658,0.999462312423206,0.999154832171776
"S7415",0.999911045985274,0.999932334753928,1,0.999875777966075,0.999800128493374,0.999800128493374,0.999900215129438,0.999777258099168,0.9996974264346,0.999633588574164,0.999633588574164,0.999633588574164,0.999591298100632,0.999591298100632,0.999332774110576,0.999591298100632,0.999450723508987,0.999458704802384,0.999166017721038
"S7453",0.999781969558549,0.999805328694929,0.999875777966075,1,0.999838894667676,0.999838894667676,0.999868886387865,0.999814794099178,0.999645925839669,0.99967104459105,0.99967104459105,0.99967104459105,0.999636635959853,0.999636635959853,0.999294348626091,0.999636635959853,0.999407596309252,0.999632484425056,0.999429891447566
"S7457",0.999826177469118,0.999807262778513,0.999800128493374,0.999838894667676,1,1,0.999903160091039,0.999905812492779,0.99971343709592,0.99975320401822,0.99975320401822,0.99975320401822,0.999720589275251,0.999720589275251,0.999495565800278,0.999720589275251,0.999528775208613,0.999733816456263,0.999559062652857
"S7498",0.999826177469118,0.999807262778513,0.999800128493374,0.999838894667676,1,1,0.999903160091039,0.999905812492779,0.99971343709592,0.99975320401822,0.99975320401822,0.99975320401822,0.999720589275251,0.999720589275251,0.999495565800278,0.999720589275251,0.999528775208613,0.999733816456263,0.999559062652857
"S7509",0.999956913965457,0.999883211525222,0.999900215129438,0.999868886387865,0.999903160091039,0.999903160091039,1,0.999931602930869,0.999863881142393,0.999847566227365,0.999847566227365,0.999847566227365,0.999799045846087,0.999799045846087,0.999600590762104,0.999799045846087,0.999684921564448,0.999777640257788,0.999568980159932
"S7517",0.999812311632614,0.99976675645177,0.999777258099168,0.999814794099178,0.999905812492779,0.999905812492779,0.999931602930869,1,0.999890843452381,0.999925205531721,0.999925205531721,0.999925205531721,0.999904112268224,0.999904112268224,0.999738591806056,0.999904112268224,0.999808056418418,0.99981649218765,0.999610260321775
"S7526",0.999777321827364,0.999711391079624,0.9996974264346,0.999645925839669,0.99971343709592,0.99971343709592,0.999863881142393,0.999890843452381,1,0.999893362817096,0.999893362817096,0.999893362817096,0.999861287079796,0.999861287079796,0.999793033006736,0.999861287079796,0.999859053672549,0.999809433566665,0.999592846671764
"S7531",0.999698060294269,0.999600780955347,0.999633588574164,0.99967104459105,0.99975320401822,0.99975320401822,0.999847566227365,0.999925205531721,0.999893362817096,1,1,1,0.999957260382101,0.999957260382101,0.999816639770983,0.999957260382101,0.99983352658094,0.99986261784211,0.999615516087119
"S7533",0.999698060294269,0.999600780955347,0.999633588574164,0.99967104459105,0.99975320401822,0.99975320401822,0.999847566227365,0.999925205531721,0.999893362817096,1,1,1,0.999957260382101,0.999957260382101,0.999816639770983,0.999957260382101,0.99983352658094,0.99986261784211,0.999615516087119
"S7545",0.999698060294269,0.999600780955347,0.999633588574164,0.99967104459105,0.99975320401822,0.99975320401822,0.999847566227365,0.999925205531721,0.999893362817096,1,1,1,0.999957260382101,0.999957260382101,0.999816639770983,0.999957260382101,0.99983352658094,0.99986261784211,0.999615516087119
"S7547",0.999618411974999,0.999641921073726,0.999591298100632,0.999636635959853,0.999720589275251,0.999720589275251,0.999799045846087,0.999904112268224,0.999861287079796,0.999957260382101,0.999957260382101,0.999957260382101,1,1,0.999921189387096,1,0.999917488685554,0.999793032243271,0.999505389139786
"S7548",0.999618411974999,0.999641921073726,0.999591298100632,0.999636635959853,0.999720589275251,0.999720589275251,0.999799045846087,0.999904112268224,0.999861287079796,0.999957260382101,0.999957260382101,0.999957260382101,1,1,0.999921189387096,1,0.999917488685554,0.999793032243271,0.999505389139786
