"","S6914","S6916","S6939","S7049","S7064","S7080","S7081","S7084","S7085","S7087","S7090","S7091","S7092","S7095","S7109","S7111","S7112","S7113","S7116","S7124","S7125","S7129","S7132","S7140","S7144","S7148","S7151","S7153","S7154","S7155","S7158","S7159","S7164","S7168","S7169","S7170","S7171","S7173","S7174","S7178","S7185"
"S6914",1,0.999951870842427,0.999951870842427,0.999943744167759,0.999943744167759,0.999906685215294,0.999906685215294,0.999807478500543,0.999756471898208,0.999732706020466,0.999732706020466,0.999732706020466,0.999756471898208,0.999716263326169,0.999689285900519,0.999716510241897,0.999580699655605,0.999580699655605,0.999580699655605,0.999440317710445,0.999589718030224,0.999646241504874,0.999440317710445,0.999589718030224,0.999396314703813,0.999589718030224,0.999440317710445,0.999440317710445,0.999646241504874,0.999391419800373,0.999378166391026,0.999281810985625,0.999382923558534,0.999382923558534,0.999280841220114,0.999270411621167,0.999388253360128,0.999474072958723,0.999240298814889,0.99918796940216,0.999279427190849
"S6916",0.999951870842427,1,1,0.999938585638525,0.999938585638525,0.999914654304745,0.999914654304745,0.999841090339576,0.999805786224109,0.999743757455759,0.999743757455759,0.999743757455759,0.999805786224109,0.999761300065331,0.99974104276061,0.999781735151074,0.999657342833253,0.999657342833253,0.999657342833253,0.999513698489937,0.99967585586618,0.999736251405607,0.999513698489937,0.99967585586618,0.999464989466434,0.99967585586618,0.999513698489937,0.999513698489937,0.999736251405607,0.999509842242992,0.999485572430364,0.999371302162231,0.99945171448346,0.99945171448346,0.999385469901545,0.99939143636552,0.999483478222872,0.999589205208109,0.999321761316006,0.999330299475507,0.99933356143474
"S6939",0.999951870842427,1,1,0.999938585638525,0.999938585638525,0.999914654304745,0.999914654304745,0.999841090339576,0.999805786224109,0.999743757455759,0.999743757455759,0.999743757455759,0.999805786224109,0.999761300065331,0.99974104276061,0.999781735151074,0.999657342833253,0.999657342833253,0.999657342833253,0.999513698489937,0.99967585586618,0.999736251405607,0.999513698489937,0.99967585586618,0.999464989466434,0.99967585586618,0.999513698489937,0.999513698489937,0.999736251405607,0.999509842242992,0.999485572430364,0.999371302162231,0.99945171448346,0.99945171448346,0.999385469901545,0.99939143636552,0.999483478222872,0.999589205208109,0.999321761316006,0.999330299475507,0.99933356143474
"S7049",0.999943744167759,0.999938585638525,0.999938585638525,1,1,0.999953950144775,0.999953950144775,0.999919007485625,0.999905670483699,0.999868249964885,0.999868249964885,0.999868249964885,0.999905670483699,0.999842388331019,0.999780216802643,0.999852762199169,0.999728011705466,0.999728011705466,0.999728011705466,0.999673790256654,0.999777578212613,0.999818897404984,0.999673790256654,0.999777578212613,0.999612614370534,0.999777578212613,0.999673790256654,0.999673790256654,0.999818897404984,0.999636811623432,0.999629257144411,0.999538170923359,0.999576516741796,0.999576516741796,0.999536312282467,0.999522850112566,0.999623459947675,0.999688815301114,0.999475451477892,0.999438414569877,0.999513715968726
"S7064",0.999943744167759,0.999938585638525,0.999938585638525,1,1,0.999953950144775,0.999953950144775,0.999919007485625,0.999905670483699,0.999868249964885,0.999868249964885,0.999868249964885,0.999905670483699,0.999842388331019,0.999780216802643,0.999852762199169,0.999728011705466,0.999728011705466,0.999728011705466,0.999673790256654,0.999777578212613,0.999818897404984,0.999673790256654,0.999777578212613,0.999612614370534,0.999777578212613,0.999673790256654,0.999673790256654,0.999818897404984,0.999636811623432,0.999629257144411,0.999538170923359,0.999576516741796,0.999576516741796,0.999536312282467,0.999522850112566,0.999623459947675,0.999688815301114,0.999475451477892,0.999438414569877,0.999513715968726
"S7080",0.999906685215294,0.999914654304745,0.999914654304745,0.999953950144775,0.999953950144775,1,1,0.999926096743501,0.999937439785402,0.999923346797721,0.999923346797721,0.999923346797721,0.999937439785402,0.999934137285745,0.999896979005294,0.999932776182158,0.999833155671549,0.999833155671549,0.999833155671549,0.999749208691951,0.999862070285405,0.99987760071248,0.999749208691951,0.999862070285405,0.999731516427291,0.999862070285405,0.999749208691951,0.999749208691951,0.99987760071248,0.999739232272676,0.999725468008148,0.999657094773743,0.999722928450439,0.999722928450439,0.999665960907328,0.999645713047747,0.999720818913612,0.999769075173745,0.999632918306598,0.999609640468118,0.999661748926028
"S7081",0.999906685215294,0.999914654304745,0.999914654304745,0.999953950144775,0.999953950144775,1,1,0.999926096743501,0.999937439785402,0.999923346797721,0.999923346797721,0.999923346797721,0.999937439785402,0.999934137285745,0.999896979005294,0.999932776182158,0.999833155671549,0.999833155671549,0.999833155671549,0.999749208691951,0.999862070285405,0.99987760071248,0.999749208691951,0.999862070285405,0.999731516427291,0.999862070285405,0.999749208691951,0.999749208691951,0.99987760071248,0.999739232272676,0.999725468008148,0.999657094773743,0.999722928450439,0.999722928450439,0.999665960907328,0.999645713047747,0.999720818913612,0.999769075173745,0.999632918306598,0.999609640468118,0.999661748926028
"S7084",0.999807478500543,0.999841090339576,0.999841090339576,0.999919007485625,0.999919007485625,0.999926096743501,0.999926096743501,1,0.999962046827328,0.999933334740976,0.999933334740976,0.999933334740976,0.999962046827328,0.999935593803029,0.999875887415694,0.999939212357623,0.999881386648982,0.999881386648982,0.999881386648982,0.9998379467977,0.999910577905207,0.999934362160447,0.9998379467977,0.999910577905207,0.999764148950346,0.999910577905207,0.9998379467977,0.9998379467977,0.999934362160447,0.99981965356833,0.999800240786602,0.999734023601565,0.99975695722499,0.99975695722499,0.99976965967516,0.999772906143737,0.999829816363503,0.999866406257119,0.999722171611625,0.999667666616244,0.999725285683279
"S7085",0.999756471898208,0.999805786224109,0.999805786224109,0.999905670483699,0.999905670483699,0.999937439785402,0.999937439785402,0.999962046827328,1,0.99994622595779,0.99994622595779,0.99994622595779,1,0.999955702961993,0.99989944100295,0.999972029155273,0.999914145997228,0.999914145997228,0.999914145997228,0.999891095738205,0.999946705373554,0.999970502343423,0.999891095738205,0.999946705373554,0.999861605156383,0.999946705373554,0.999891095738205,0.999891095738205,0.999970502343423,0.999887809488167,0.999869637475976,0.999832218898789,0.99983449572199,0.99983449572199,0.99983559657071,0.999816055277278,0.999871623202376,0.999909537949267,0.999802461600369,0.999757160809873,0.999820906419768
"S7087",0.999732706020466,0.999743757455759,0.999743757455759,0.999868249964885,0.999868249964885,0.999923346797721,0.999923346797721,0.999933334740976,0.99994622595779,1,1,1,0.99994622595779,0.999981946287089,0.999921711556029,0.999946734950925,0.999883105910667,0.999883105910667,0.999883105910667,0.999899657805731,0.999928277576304,0.999926716330623,0.999899657805731,0.999928277576304,0.999864435061344,0.999928277576304,0.999899657805731,0.999899657805731,0.999926716330623,0.999880834064048,0.999888617504418,0.999828408560262,0.999863619772383,0.999863619772383,0.999845818693532,0.999824281737891,0.999868507712385,0.999890446563118,0.999814005264468,0.999770537413393,0.999834632163893
