"","S4128","S4129","S4130","S4201","S4207","S4210","S4223","S4233","S4234","S4239","S4241","S4244","S4248","S4255","S4265","S4283","S4284","S4291"
"S4128",1,1,0.999796477009981,0.999769663241489,0.999614668338739,0.999769663241489,0.999879873459194,0.999614262806788,0.999897644711406,0.999897644711406,0.999614262806788,0.999866885108609,0.999866885108609,0.999832929416345,0.999832929416345,0.999496350148341,0.999496350148341,0.99954431626493
"S4129",1,1,0.999796477009981,0.999769663241489,0.999614668338739,0.999769663241489,0.999879873459194,0.999614262806788,0.999897644711406,0.999897644711406,0.999614262806788,0.999866885108609,0.999866885108609,0.999832929416345,0.999832929416345,0.999496350148341,0.999496350148341,0.99954431626493
"S4130",0.999796477009981,0.999796477009981,1,0.999795090033682,0.99977898517583,0.999795090033682,0.999832137563802,0.999859567021308,0.999871230841917,0.999871230841917,0.999859567021308,0.999829460550361,0.999829460550361,0.999849740138707,0.999849740138707,0.999496076210344,0.999496076210344,0.99953729808304
"S4201",0.999769663241489,0.999769663241489,0.999795090033682,1,0.999913386447892,1,0.999791913715343,0.999739148853311,0.999735240677405,0.999735240677405,0.999739148853311,0.999845079400016,0.999845079400016,0.999680778870826,0.999680778870826,0.999092140190663,0.999092140190663,0.999125923240636
"S4207",0.999614668338739,0.999614668338739,0.99977898517583,0.999913386447892,1,0.999913386447892,0.999716740232347,0.999777307916449,0.999690890327864,0.999690890327864,0.999777307916449,0.999744961480602,0.999744961480602,0.999671834990424,0.999671834990424,0.999041489941508,0.999041489941508,0.998949540810888
"S4210",0.999769663241489,0.999769663241489,0.999795090033682,1,0.999913386447892,1,0.999791913715343,0.999739148853311,0.999735240677405,0.999735240677405,0.999739148853311,0.999845079400016,0.999845079400016,0.999680778870826,0.999680778870826,0.999092140190663,0.999092140190663,0.999125923240636
"S4223",0.999879873459194,0.999879873459194,0.999832137563802,0.999791913715343,0.999716740232347,0.999791913715343,1,0.999749727969702,0.999878539410881,0.999878539410881,0.999749727969702,0.999841469952697,0.999841469952697,0.999842161166188,0.999842161166188,0.999606243417508,0.999606243417508,0.999579519581655
"S4233",0.999614262806788,0.999614262806788,0.999859567021308,0.999739148853311,0.999777307916449,0.999739148853311,0.999749727969702,1,0.999732885953115,0.999732885953115,1,0.999860690236067,0.999860690236067,0.999867077874699,0.999867077874699,0.999454636347662,0.999454636347662,0.999361150998607
"S4234",0.999897644711406,0.999897644711406,0.999871230841917,0.999735240677405,0.999690890327864,0.999735240677405,0.999878539410881,0.999732885953115,1,1,0.999732885953115,0.999889240249065,0.999889240249065,0.99987765313618,0.99987765313618,0.999478811009704,0.999478811009704,0.999463383157835
"S4239",0.999897644711406,0.999897644711406,0.999871230841917,0.999735240677405,0.999690890327864,0.999735240677405,0.999878539410881,0.999732885953115,1,1,0.999732885953115,0.999889240249065,0.999889240249065,0.99987765313618,0.99987765313618,0.999478811009704,0.999478811009704,0.999463383157835
"S4241",0.999614262806788,0.999614262806788,0.999859567021308,0.999739148853311,0.999777307916449,0.999739148853311,0.999749727969702,1,0.999732885953115,0.999732885953115,1,0.999860690236067,0.999860690236067,0.999867077874699,0.999867077874699,0.999454636347662,0.999454636347662,0.999361150998607
"S4244",0.999866885108609,0.999866885108609,0.999829460550361,0.999845079400016,0.999744961480602,0.999845079400016,0.999841469952697,0.999860690236067,0.999889240249065,0.999889240249065,0.999860690236067,1,1,0.999912091781192,0.999912091781192,0.999456926121294,0.999456926121294,0.999428302664988
"S4248",0.999866885108609,0.999866885108609,0.999829460550361,0.999845079400016,0.999744961480602,0.999845079400016,0.999841469952697,0.999860690236067,0.999889240249065,0.999889240249065,0.999860690236067,1,1,0.999912091781192,0.999912091781192,0.999456926121294,0.999456926121294,0.999428302664988
"S4255",0.999832929416345,0.999832929416345,0.999849740138707,0.999680778870826,0.999671834990424,0.999680778870826,0.999842161166188,0.999867077874699,0.99987765313618,0.99987765313618,0.999867077874699,0.999912091781192,0.999912091781192,1,1,0.999621076948644,0.999621076948644,0.999516181630928
"S4265",0.999832929416345,0.999832929416345,0.999849740138707,0.999680778870826,0.999671834990424,0.999680778870826,0.999842161166188,0.999867077874699,0.99987765313618,0.99987765313618,0.999867077874699,0.999912091781192,0.999912091781192,1,1,0.999621076948644,0.999621076948644,0.999516181630928
"S4283",0.999496350148341,0.999496350148341,0.999496076210344,0.999092140190663,0.999041489941508,0.999092140190663,0.999606243417508,0.999454636347662,0.999478811009704,0.999478811009704,0.999454636347662,0.999456926121294,0.999456926121294,0.999621076948644,0.999621076948644,1,1,0.999916135272723
"S4284",0.999496350148341,0.999496350148341,0.999496076210344,0.999092140190663,0.999041489941508,0.999092140190663,0.999606243417508,0.999454636347662,0.999478811009704,0.999478811009704,0.999454636347662,0.999456926121294,0.999456926121294,0.999621076948644,0.999621076948644,1,1,0.999916135272723
"S4291",0.99954431626493,0.99954431626493,0.99953729808304,0.999125923240636,0.998949540810888,0.999125923240636,0.999579519581655,0.999361150998607,0.999463383157835,0.999463383157835,0.999361150998607,0.999428302664988,0.999428302664988,0.999516181630928,0.999516181630928,0.999916135272723,0.999916135272723,1
