"","S1177","S1193","S1242","S1249","S1251","S1277","S1288","S1397","S1427","S1438","S1542","S1917","S2081","S2172","S2292","S2432","S2445","S2463","S2478","S2580","S2581","S2611","S2628","S2709","S2715","S2723","S2740","S2768","S2783","S2803","S2813","S2855"
"S1177",1,0.999916897266731,0.999957023435924,0.999905355618695,0.999853698032527,0.99978354716311,0.999930733516535,0.999800025160788,0.999871944003894,0.999871944003894,0.99953106079969,0.998219686395998,0.997877667480908,0.997749429700631,0.997750190731325,0.997101300170758,0.997101300170758,0.996973343664508,0.997197320553906,0.997197320553906,0.997197320553906,0.996700249956928,0.997562896036016,0.99652871483683,0.99652871483683,0.99663396919884,0.996526200901254,0.996637098668288,0.996650460570085,0.996902266684003,0.996902266684003,0.996584987736659
"S1193",0.999916897266731,1,0.999858912486994,0.999863693421425,0.999817045133292,0.999758872196734,0.999892053407186,0.99985965906128,0.999832561574015,0.999832561574015,0.999575653795423,0.998314169718819,0.997989825398255,0.997855359289154,0.997786132086183,0.997180856461399,0.997180856461399,0.997106012243961,0.997326077139632,0.997326077139632,0.997326077139632,0.996875853091299,0.997688794086258,0.996548099102569,0.996548099102569,0.996734264151672,0.996522649316742,0.996779227282953,0.9967629292707,0.996917154277484,0.996917154277484,0.996698805359613
"S1242",0.999957023435924,0.999858912486994,1,0.999871022692489,0.999815289044455,0.999810359892299,0.999837363357624,0.999748010090803,0.999767161777612,0.999767161777612,0.999460216558977,0.998157179510194,0.997899964132049,0.997666280860257,0.997636218844952,0.997079731374392,0.997079731374392,0.996885179569738,0.997083120353099,0.997083120353099,0.997083120353099,0.996574866488291,0.997513879538962,0.996486747894058,0.996486747894058,0.996606078101626,0.996496074876375,0.996607892973125,0.9966198326456,0.996832806570756,0.996832806570756,0.996570669394958
"S1249",0.999905355618695,0.999863693421425,0.999871022692489,1,0.99996549836194,0.999940643507745,0.999924602355989,0.9998699656265,0.999913219996244,0.999913219996244,0.99962986163416,0.997972253288637,0.99777814695581,0.997568666046071,0.9975597719371,0.99700001539478,0.99700001539478,0.996934336935649,0.997053350172099,0.997053350172099,0.997053350172099,0.996651882330409,0.997405822125303,0.996347108158192,0.996347108158192,0.996457473306506,0.99630309904241,0.996486322044719,0.996483459226513,0.996776549893345,0.996776549893345,0.996479706257294
"S1251",0.999853698032527,0.999817045133292,0.999815289044455,0.99996549836194,1,0.999909775148894,0.999912755739986,0.999837302203511,0.999924640212412,0.999924640212412,0.999565964563301,0.997933706992405,0.997788339791008,0.997620649848274,0.997588373366832,0.99704289046991,0.99704289046991,0.99692669340465,0.997065169180391,0.997065169180391,0.997065169180391,0.996756720949978,0.997429413941888,0.996345157372576,0.996345157372576,0.996539425838141,0.996321512051405,0.996554154737084,0.996499004664798,0.996808458730073,0.996808458730073,0.99649752673947
"S1277",0.99978354716311,0.999758872196734,0.999810359892299,0.999940643507745,0.999909775148894,1,0.999783799063623,0.999842857224641,0.999783043185951,0.999783043185951,0.999564059570985,0.997816103431632,0.997713722785087,0.997387255388678,0.997336791156331,0.996888601414077,0.996888601414077,0.996850517116568,0.996896570387845,0.996896570387845,0.996896570387845,0.996489116032371,0.997202285929517,0.996176199404166,0.996176199404166,0.996350295073475,0.996089663549065,0.996372143675811,0.996328294771535,0.996621233360165,0.996621233360165,0.996376087467603
"S1288",0.999930733516535,0.999892053407186,0.999837363357624,0.999924602355989,0.999912755739986,0.999783799063623,1,0.999858354954726,0.999943442104834,0.999943442104834,0.999623871252036,0.998191822794878,0.997879223369701,0.997890079307664,0.997912349922615,0.9973178780789,0.9973178780789,0.997149784920704,0.997353121257048,0.997353121257048,0.997353121257048,0.997026343247829,0.997673819164103,0.996676628050157,0.996676628050157,0.996824321308901,0.996662748957076,0.996831152581982,0.996793684324683,0.997087146660575,0.997087146660575,0.996716260534373
"S1397",0.999800025160788,0.99985965906128,0.999748010090803,0.9998699656265,0.999837302203511,0.999842857224641,0.999858354954726,1,0.999892320995593,0.999892320995593,0.999827415532246,0.998632650023563,0.998435064321997,0.998304165566884,0.998275383620239,0.997863597387079,0.997863597387079,0.997877550627086,0.997977143405037,0.997977143405037,0.997977143405037,0.997625171954097,0.998172901683123,0.997281529034517,0.997281529034517,0.997445940129314,0.997206215719853,0.99748041736221,0.997450596890501,0.997664372862728,0.997664372862728,0.997468261007765
"S1427",0.999871944003894,0.999832561574015,0.999767161777612,0.999913219996244,0.999924640212412,0.999783043185951,0.999943442104834,0.999892320995593,1,1,0.999755331607474,0.998479333560419,0.998248397932226,0.998186929716659,0.99817329148425,0.997592831401417,0.997592831401417,0.997550223318872,0.997693637376183,0.997693637376183,0.997693637376183,0.997383673669308,0.997983884819249,0.997049022157996,0.997049022157996,0.997141934346992,0.99699152828345,0.997164110467895,0.997129087095299,0.997461820481349,0.997461820481349,0.997117955175575
"S1438",0.999871944003894,0.999832561574015,0.999767161777612,0.999913219996244,0.999924640212412,0.999783043185951,0.999943442104834,0.999892320995593,1,1,0.999755331607474,0.998479333560419,0.998248397932226,0.998186929716659,0.99817329148425,0.997592831401417,0.997592831401417,0.997550223318872,0.997693637376183,0.997693637376183,0.997693637376183,0.997383673669308,0.997983884819249,0.997049022157996,0.997049022157996,0.997141934346992,0.99699152828345,0.997164110467895,0.997129087095299,0.997461820481349,0.997461820481349,0.997117955175575
