"","S8045","S8090","S8091","S8092","S8093","S8094","S8095","S8096","S8097","S8098","S8099","S8100","S8101","S8102","S8103","S8104","S8105","S8108","S8109","S8110","S8114","S8115","S8116","S8119","S8120","S8121","S8122","S8123","S8124","S8126","S8128","S8129","S8130","S8131","S8132","S8134","S8135","S8136","S8138"
"S8045",1,0.988537139816517,0.987154061470265,0.993361634530444,0.991004198005021,0.994236963102794,0.992991751098774,0.993493963467995,0.995725948963748,0.9965248517372,0.993675224289497,0.997685844440066,0.997771756023929,0.997730232154954,0.999024980108164,0.9928493087067,0.995531287604681,0.992747304804193,0.997299886630865,0.994287052888156,0.981567108253,0.984787143925967,0.993771590060225,0.984315828197508,0.985300906925638,0.986965204081968,0.992407031349579,0.985862451699518,0.9989413334908,0.988766723225395,0.999621709634222,0.999571195934624,0.998678464495535,0.998079857626483,0.998320429529209,0.993659209478553,0.99755756599368,0.994076444696316,0.99647175692144
"S8090",0.988537139816517,1,0.999919199860853,0.999207050937505,0.999642357978049,0.99863585174389,0.999047387925497,0.998940055109393,0.998018293229765,0.99662607965491,0.998770937359249,0.99480807364911,0.995674361828818,0.995112538478873,0.991633985844101,0.998114080742016,0.997884205140203,0.999162023800051,0.990971931744996,0.983858687178933,0.953435324290422,0.956240993791419,0.974882051218688,0.953940472039401,0.954689253471182,0.957508934555613,0.969318577159147,0.956091809122716,0.984110826014141,0.959438216049811,0.98617000812831,0.983928125679531,0.981244840833149,0.978165480815871,0.979631748375694,0.998342562823842,0.976648745167189,0.970438674544858,0.997198173290968
"S8091",0.987154061470265,0.999919199860853,1,0.998800257321863,0.999522877734601,0.998147478803152,0.998646344733385,0.998539376003599,0.997395464762765,0.995890903429728,0.998264711689952,0.993900247535373,0.994819997345796,0.994227470085948,0.990468117718264,0.997414342662618,0.997177743894997,0.99872426334621,0.989837638109179,0.982483096601206,0.951312483794237,0.954090146667049,0.973146374869745,0.951745185588792,0.952552668804926,0.955374959481603,0.967485779557824,0.954062623791725,0.982701061513532,0.957300186616078,0.984771468070843,0.982289338347065,0.979376916544576,0.976280144839451,0.977782314022098,0.997696530651558,0.974696458568845,0.968495674525096,0.996398744954792
"S8092",0.993361634530444,0.999207050937505,0.998800257321863,1,0.999565795512717,0.999756403141565,0.999881512077894,0.999919909344936,0.999557822937934,0.99888010191399,0.999784875764076,0.997763905610094,0.998351229880813,0.998023642504674,0.995549265668536,0.998878287719761,0.999401586450065,0.999730747003984,0.994988324382588,0.988873683372596,0.962806071063751,0.965768078275982,0.981828676731316,0.96382935581166,0.96458160839167,0.967024448384223,0.977214525968666,0.965848784749845,0.989956507040227,0.968911392396977,0.991384875736671,0.989836659107583,0.98769666030238,0.985193562554299,0.98640041670695,0.999260885783831,0.983981279850104,0.978561409110007,0.999062517200997
"S8093",0.991004198005021,0.999642357978049,0.999522877734601,0.999565795512717,1,0.999098390502708,0.999466700637653,0.999379882186781,0.998693217493097,0.997453816083307,0.999180149287847,0.995978684978622,0.996890488926674,0.996255591545179,0.993396557150013,0.998169941143959,0.998339911923723,0.999350918637598,0.992369653510586,0.985466628311536,0.957340710331305,0.9603816866895,0.977819538215827,0.958561935389809,0.959574851433248,0.962223546723476,0.973004364799619,0.960899528266766,0.987051570580463,0.964412202148905,0.988943338642146,0.98690359680691,0.984404197001153,0.981692276200306,0.982982691478624,0.998476504064736,0.980340654794419,0.97446595069886,0.997879390584332
"S8094",0.994236963102794,0.99863585174389,0.998147478803152,0.999756403141565,0.999098390502708,1,0.999580555614109,0.999670346143081,0.999780726908637,0.999452421436806,0.999599592086757,0.998549059298094,0.998863980027086,0.998738162388183,0.996760688863754,0.998253693840747,0.999354792471805,0.999119702495252,0.996353516291694,0.991299595565043,0.967127044291362,0.969638419927959,0.984586304431757,0.967490191465605,0.968169503211481,0.97048973854708,0.980208971581874,0.969056094971611,0.991353573318416,0.971773574735798,0.992752352580581,0.991034710878418,0.989053756525609,0.986715138711931,0.987939076999754,0.998870871205366,0.985743052422289,0.981040747354025,0.999148951950285
"S8095",0.992991751098774,0.999047387925497,0.998646344733385,0.999881512077894,0.999466700637653,0.999580555614109,1,0.999769976578881,0.999331187045575,0.998735308128592,0.999677662932772,0.997620528690757,0.998168465452107,0.997845403918373,0.995218234245667,0.998447754275954,0.998979961116822,0.999498802395564,0.994859026312877,0.988535895104757,0.962162667120858,0.965269049021056,0.981400110395338,0.96343560770921,0.963963072840375,0.966593337551307,0.976751536165749,0.965403285722051,0.989778223970558,0.968656349478332,0.9910539181416,0.989462049381465,0.987436745523146,0.98489352228909,0.986138560531662,0.998794120096014,0.983669932571966,0.978312717229872,0.998681955083956
"S8096",0.993493963467995,0.998940055109393,0.998539376003599,0.999919909344936,0.999379882186781,0.999670346143081,0.999769976578881,1,0.999440200913472,0.998884237850268,0.999861241985798,0.997813320811083,0.998319719489586,0.998055944377536,0.995509634058297,0.998868455200431,0.999404482517839,0.999660962868852,0.994968693503998,0.988831413480216,0.963015715996327,0.966183429071317,0.981867396967408,0.96422444250989,0.965080687031936,0.967375476476365,0.97739463357183,0.966350437313245,0.990115304257936,0.969191957555252,0.991496215307774,0.990012222778638,0.987741892969671,0.985382100839467,0.986513373154128,0.99922879977351,0.984178966669028,0.978800163364871,0.998951206684925
"S8097",0.995725948963748,0.998018293229765,0.997395464762765,0.999557822937934,0.998693217493097,0.999780726908637,0.999331187045575,0.999440200913472,1,0.999643701855061,0.999471905655637,0.99890042572374,0.999474264105724,0.999232150214349,0.997725137964889,0.99843875159724,0.99968631924352,0.999094750167998,0.996833553444926,0.991777015402615,0.96883568492985,0.971430478996992,0.985984225497171,0.969577715291287,0.970206847965114,0.97248704967728,0.981990507754318,0.971161577005505,0.992861832309356,0.974125425662979,0.994287781207717,0.992892000620834,0.990974431897913,0.98880993749091,0.989904050695546,0.99910776080371,0.987864872588597,0.982971310490756,0.999677326470841
"S8098",0.9965248517372,0.99662607965491,0.995890903429728,0.99888010191399,0.997453816083307,0.999452421436806,0.998735308128592,0.998884237850268,0.999643701855061,1,0.998878520950768,0.999589847456614,0.99961084443474,0.99978908283158,0.998553151306011,0.997192621763858,0.999144898683743,0.998019447934759,0.99839450522097,0.994362366169693,0.973744951075858,0.976209636885645,0.989099537888263,0.974298245280435,0.974618563147187,0.976737571286569,0.985442060738734,0.975604426217405,0.9946965130676,0.977837574039382,0.995515108254712,0.99411160806001,0.992365366567469,0.990689585259745,0.991696612419875,0.9980674844524,0.989834947408306,0.986074540759065,0.999212616323303
