"","S10203","S10328","S10458","S10580","S10806","S10918","S11151","S11264","S11383","S11384","S11498","S11618","S11784","S11804","S11816","S11830","S11849","S11872","S11988","S1296","S1298","S1664","S1697","S176","S3234","S4287","S4401","S4573","S4668","S5110","S5557","S5610","S5646","S6018","S6120","S6165","S6923","S8633","S8702","S8888","S9019","S9163","S9165","S9269","S9272","S9313","S936","S9445","S9447","S9840","S995","S9964"
"S10203",1,0.998978169079559,0.958082476551064,0.95752668878877,0.958041518858035,0.955140921897511,0.978167987657796,0.978943601100771,0.978943601100771,0.98898124190533,0.987056098390181,0.978943601100771,0.986467031125296,0.98606455793324,0.986941174152645,0.986893888021107,0.985958003191807,0.986893888021107,0.984522116752224,0.989306041625453,0.990785542172248,0.912101561479396,0.912101561479396,0.943929657196627,0.990916209648264,0.880329159449528,0.882934518939912,0.846714434128789,0.846714434128789,0.990922764506613,0.989862702153372,0.85672473613124,0.853065459664154,0.989767272100761,0.867348451447612,0.867348451447612,0.989862702153372,0.99287513706341,0.866133177707354,0.992035124333628,0.993857924242749,0.993892101053779,0.982815663863755,0.886330796675635,0.886330796675635,0.98044381429914,0.931039204150911,0.994045351972052,0.982815663863755,0.999905363367799,0.932024764121982,0.999940447587303
"S10328",0.998978169079559,1,0.962327856503586,0.96197350347547,0.962257006592473,0.959485375876213,0.981335617368769,0.981816067639435,0.981816067639435,0.991953847971535,0.989082752896417,0.981816067639435,0.988164071425473,0.988031412768523,0.988528850877737,0.988437952038122,0.987659600040311,0.988437952038122,0.986354199555275,0.992204135134814,0.992775895496882,0.915626567582794,0.915626567582794,0.949070774208402,0.99303209217983,0.882187481417476,0.885091038625856,0.844493652098683,0.844493652098683,0.993667139841473,0.992875370402623,0.856201900113329,0.852230863043806,0.992665554501657,0.869553677833301,0.869553677833301,0.992875370402623,0.9939504277856,0.860509991336899,0.993235621030277,0.994772390304288,0.994571606461574,0.983702152383597,0.881270376549393,0.881270376549393,0.981090018621117,0.937223813271713,0.994773730069825,0.983702152383597,0.998872756622333,0.938005386312024,0.99924061466749
"S10458",0.958082476551064,0.962327856503586,1,0.999970294429783,0.999973701890392,0.999899091133282,0.933221421461622,0.933934172892265,0.933934172892265,0.948448648787236,0.945704335969314,0.933934172892265,0.938939339110543,0.946664098458108,0.939521510060522,0.939361306919824,0.938795425046261,0.939361306919824,0.942882704607338,0.939357403591692,0.955188463720359,0.979133880646599,0.979133880646599,0.998725189547348,0.952534795116158,0.951357694759296,0.953410516020195,0.929462977205589,0.929462977205589,0.940626802125358,0.940153255313759,0.937829506257713,0.935275481605284,0.941623867882392,0.946995766450114,0.946995766450114,0.940153255313759,0.982466530033088,0.923116171563269,0.984273603046019,0.978867724542328,0.975226538920652,0.946051159535986,0.915802901818601,0.915802901818601,0.944008248360177,0.994726805201034,0.976238948581586,0.946051159535986,0.957396070361958,0.994489626857879,0.959279156099005
"S10580",0.95752668878877,0.96197350347547,0.999970294429783,1,0.999979586261936,0.999906687184241,0.933424168417161,0.934112575016419,0.934112575016419,0.947980422895865,0.944970951299882,0.934112575016419,0.938849582150273,0.945925141882849,0.939473854574319,0.939270939163635,0.93872985872922,0.939270939163635,0.942066227856833,0.939609009022963,0.954562151760317,0.978259271356629,0.978259271356629,0.998677209464978,0.951945340185974,0.949749372913839,0.951842184740142,0.927583438653327,0.927583438653327,0.940793894271503,0.94039277218468,0.936115262942269,0.933549374717911,0.941895611996544,0.945494936196548,0.945494936196548,0.94039277218468,0.982291142723912,0.920903353251009,0.984085483923355,0.978710994751337,0.975070442259885,0.945026510667861,0.913634522226533,0.913634522226533,0.942907352244283,0.994751463517983,0.976113338434475,0.945026510667861,0.956870036806395,0.994468446768522,0.958729078645256
"S10806",0.958041518858035,0.962257006592473,0.999973701890392,0.999979586261936,1,0.999906721336406,0.933389725460263,0.934125060760502,0.934125060760502,0.947756062235375,0.94481546699506,0.934125060760502,0.938894271193639,0.945748735670985,0.939511905018665,0.939323141628125,0.938770332406719,0.939323141628125,0.941905724954045,0.939507542408248,0.95446146235251,0.97801188355222,0.97801188355222,0.998557421359141,0.951832608935591,0.949604596732835,0.951664802126015,0.928191803299862,0.928191803299862,0.940740975061322,0.940306148826484,0.93640860426142,0.93387087447056,0.941820810655483,0.945354831035671,0.945354831035671,0.940306148826484,0.982722746217833,0.921684242346751,0.984498353338164,0.979181619218505,0.975614401526492,0.94493812666264,0.914197030218491,0.914197030218491,0.942828809346334,0.994371236896726,0.976620578978513,0.94493812666264,0.957392715605444,0.994090109647699,0.959213776640711
"S10918",0.955140921897511,0.959485375876213,0.999899091133282,0.999906687184241,0.999906721336406,1,0.930655163818887,0.931368979277121,0.931368979277121,0.944912873757885,0.941995468374239,0.931368979277121,0.93602271718017,0.942993565884151,0.936647601183363,0.936502104647098,0.935940765686448,0.936502104647098,0.939031797801587,0.936340009107437,0.951750329269497,0.978851865869656,0.978851865869656,0.998973668225287,0.94901443864262,0.950788785664377,0.952881295933921,0.930348148007738,0.930348148007738,0.937454262539059,0.937065131843288,0.9383697237036,0.935880073964401,0.938609130375607,0.946955795857009,0.946955795857009,0.937065131843288,0.980721246464879,0.923020639975129,0.982542689275552,0.977022344890494,0.973451238061512,0.942378177317391,0.914681717643896,0.914681717643896,0.940270995903773,0.994857790620311,0.974475212153495,0.942378177317391,0.954505570871885,0.994512051506164,0.956325764136354
"S11151",0.978167987657796,0.981335617368769,0.933221421461622,0.933424168417161,0.933389725460263,0.930655163818887,1,0.999946053648441,0.999946053648441,0.983673652955502,0.978802548145753,0.999946053648441,0.997902291474756,0.978001285826388,0.997457736818536,0.997681805648116,0.997983001401555,0.997681805648116,0.975757601328072,0.991248977355363,0.980376252255638,0.873379842295007,0.873379842295007,0.919515978137157,0.980819300124321,0.827665695260202,0.8309260149155,0.770209149805423,0.770209149805423,0.990638472595263,0.991048649978904,0.784786307643828,0.779908036334448,0.991373818944311,0.807172899099415,0.807172899099415,0.991048649978904,0.969901089612778,0.806288062136507,0.969347590572044,0.970580805907071,0.972862925378017,0.969766136860954,0.849429628964009,0.849429628964009,0.967140382392916,0.90682940664212,0.97264390514664,0.969766136860954,0.978782538398224,0.907335858586235,0.978558863861213
"S11264",0.978943601100771,0.981816067639435,0.933934172892265,0.934112575016419,0.934125060760502,0.931368979277121,0.999946053648441,1,1,0.983587990617887,0.978837598339139,1,0.998031355752861,0.978045412753005,0.997590540240831,0.997826479510239,0.998129915649422,0.997826479510239,0.975820201237275,0.991116534979916,0.980482899359838,0.874290268665819,0.874290268665819,0.920156559466793,0.980912721812273,0.828634680961022,0.831782605262219,0.771418882991432,0.771418882991432,0.990604250294695,0.990970578568579,0.785777110624251,0.780937953203381,0.991294266491318,0.80785409816421,0.80785409816421,0.990970578568579,0.97065073583241,0.80757120569201,0.970113147160575,0.971305216870122,0.973555258241234,0.969954905069704,0.850172057006651,0.850172057006651,0.967341979766349,0.90727404824378,0.973338060447702,0.969954905069704,0.979554646732228,0.90782077699595,0.979279144380993
"S11383",0.978943601100771,0.981816067639435,0.933934172892265,0.934112575016419,0.934125060760502,0.931368979277121,0.999946053648441,1,1,0.983587990617887,0.978837598339139,1,0.998031355752861,0.978045412753005,0.997590540240831,0.997826479510239,0.998129915649422,0.997826479510239,0.975820201237275,0.991116534979916,0.980482899359838,0.874290268665819,0.874290268665819,0.920156559466793,0.980912721812273,0.828634680961022,0.831782605262219,0.771418882991432,0.771418882991432,0.990604250294695,0.990970578568579,0.785777110624251,0.780937953203381,0.991294266491318,0.80785409816421,0.80785409816421,0.990970578568579,0.97065073583241,0.80757120569201,0.970113147160575,0.971305216870122,0.973555258241234,0.969954905069704,0.850172057006651,0.850172057006651,0.967341979766349,0.90727404824378,0.973338060447702,0.969954905069704,0.979554646732228,0.90782077699595,0.979279144380993
"S11384",0.98898124190533,0.991953847971535,0.948448648787236,0.947980422895865,0.947756062235375,0.944912873757885,0.983673652955502,0.983587990617887,0.983587990617887,1,0.999077690761789,0.983587990617887,0.991131604984629,0.998795162427421,0.9908985974168,0.9909554483541,0.990565159850015,0.9909554483541,0.998129221463178,0.990200338947594,0.999219127720659,0.913829151831734,0.913829151831734,0.936711382778347,0.999558724042583,0.88454070871214,0.887244965908766,0.825944606631794,0.825944606631794,0.991756231730027,0.990900983328515,0.844001568995085,0.839226355779472,0.990066533770449,0.866959570189508,0.866959570189508,0.990900983328515,0.978414537352723,0.854307324932778,0.978146879851441,0.978354628792246,0.977452310239485,0.995385858089644,0.888718313045829,0.888718313045829,0.993912650420219,0.928980224950398,0.977570598152841,0.995385858089644,0.988893944121733,0.930788343321419,0.989911791983091
