"","S10015","S10038","S11887","S11924","S11928","S12211","S12290","S12298","S12306","S12317"
"S10015",1,0.538264560760925,-0.0336776717993296,0.491633105682024,-0.0136056046537643,0.722384788090455,0.657145472302167,-0.344905845257866,0.443557531290369,0.517569816703866
"S10038",0.538264560760925,1,0.417540246811804,0.588601125816128,0.631631280338238,0.344974865842387,0.283697592589186,-0.136595791314827,0.407417999415735,0.433684748568578
"S11887",-0.0336776717993296,0.417540246811804,1,0.0224931762258345,0.89627622708931,-0.0602341893846916,-0.00604345224274368,0.185769309275129,0.146590036324745,-0.0167053120719629
"S11924",0.491633105682024,0.588601125816128,0.0224931762258345,1,0.239062166027846,0.407075598407431,0.760903360363664,0.236545150843837,0.453496751874786,0.333065409090759
"S11928",-0.0136056046537643,0.631631280338238,0.89627622708931,0.239062166027846,1,0.0504467000899016,-0.0369190187576269,0.162861262224778,0.350616123985079,0.149119776818742
"S12211",0.722384788090455,0.344974865842387,-0.0602341893846916,0.407075598407431,0.0504467000899016,1,0.619758962595488,-0.227280219925684,0.436905554783495,0.562646810727474
"S12290",0.657145472302167,0.283697592589186,-0.00604345224274368,0.760903360363664,-0.0369190187576269,0.619758962595488,1,0.222780817668327,0.318812064251052,0.378864658016599
"S12298",-0.344905845257866,-0.136595791314827,0.185769309275129,0.236545150843837,0.162861262224778,-0.227280219925684,0.222780817668327,1,-0.111341607249195,0.198031119354319
"S12306",0.443557531290369,0.407417999415735,0.146590036324745,0.453496751874786,0.350616123985079,0.436905554783495,0.318812064251052,-0.111341607249195,1,0.668676458134817
"S12317",0.517569816703866,0.433684748568578,-0.0167053120719629,0.333065409090759,0.149119776818742,0.562646810727474,0.378864658016599,0.198031119354319,0.668676458134817,1
