"","S6914","S6916","S6939","S7049","S7064","S7080","S7081","S7084","S7085","S7087","S7090","S7091","S7092","S7095","S7109","S7111","S7112","S7113","S7116","S7124","S7125","S7129","S7132","S7140","S7144","S7148","S7151","S7153","S7154","S7155","S7158","S7159","S7164","S7168","S7169","S7170","S7171","S7173","S7174","S7178","S7185"
"S6914",1,0.386087211496163,-0.261558248945173,-0.140200343088011,0.114643404722557,NA,-0.0834330494867416,0.413868009632141,-0.243180615615677,-0.288859070478153,-0.257267121850651,0.355488369882793,-0.156326707436107,-0.188810986450249,NA,-0.0839814257788152,-0.497047184750316,0.20285016099563,-0.0593304614293151,-0.200580229202517,-0.120499379492177,-0.220370528744526,-0.413387742078407,-0.114991239916999,-0.247453062204285,0.0602765798627455,-0.233874204018626,-0.156895291845829,-0.142274186241032,0.970118310946545,0.999088247434366,-0.319216087565475,-0.205074332840003,-0.139254716780739,0.343980027626717,-0.03253957307114,-0.114109688024043,0.394241840342276,0.453729782555702,0.657463880312749,-0.185592785289979
"S6916",0.386087211496163,1,-0.418878093363412,0.584461312872722,-0.186796530263759,NA,-0.0566445238971852,0.474956842887786,-0.275382004373828,-0.0505997967875091,0.479134388274607,0.35002916597774,0.120400284673076,-0.185439140055702,NA,0.128006880295613,-0.0204236735952357,-0.577008638733163,-0.182174084383313,-0.429139251135779,-0.0602741778455685,0.120861004525173,-0.255560275263159,0.113357861016046,-0.236848667588255,0.201909215093927,-0.22564187451933,-0.328990431494425,-0.350754859964959,0.494261672214243,0.408223646637299,-0.300516101121302,-0.525878854851501,-0.130022122917744,0.398681530019865,0.163779568901865,-0.0584851386750952,0.0524157388655069,0.441091797600582,0.135621832547833,-0.0341052617673361
"S6939",-0.261558248945173,-0.418878093363412,1,-0.0412747135452045,0.018533000770918,NA,0.470310382459462,0.396328559021185,0.573564293116006,0.139388494506181,-0.132544070306032,-0.117706658519842,-0.313171284745557,-0.389432333250213,NA,-0.395338945009887,0.372284662725121,0.0731412525358797,-0.329847893928494,0.32112176142492,-0.00765465584664525,-0.0633648963036483,-0.0257081229629479,0.592171086022644,-0.0798059860962472,-0.0289989738384216,0.388938759249067,0.506663095233757,-0.016318443882922,-0.288798704726707,-0.267349111996556,0.266953382926165,0.313388335753394,-0.319006047319487,0.215894101413778,0.0782366109475689,-0.0208024670114623,0.0629982120173728,0.268215392539821,-0.184064503226531,0.732101477228549
"S7049",-0.140200343088011,0.584461312872722,-0.0412747135452045,1,-0.58637757836052,NA,0.292004896927593,0.462015628649314,-0.173005049112066,0.30906822613815,0.926256916405532,0.319344755111126,0.401413193968838,-0.166666666666667,NA,0.41630971798161,0.224656485729797,-0.947932278945318,-0.134728491585513,-0.160025483566072,-0.113742092538784,0.491173007694572,0.218320985989644,0.422292031189855,0.0144356269934802,0.333499629476005,-0.250573299985547,-0.112366309314252,-0.101457292960253,0.0874228024141273,-0.109309361039678,0.137014096803639,-0.210914432839488,-0.111111111111111,-0.0226301782055059,-0.0466868356220281,-0.111111111111111,-0.269267602632598,0.467482112645837,-0.0425037031044039,0.091467442222788
"S7064",0.114643404722557,-0.186796530263759,0.018533000770918,-0.58637757836052,1,NA,-0.280990328838997,-0.105055722514194,0.561357449841038,-0.0924102989585326,-0.703664481476332,-0.747083322947703,0.120544928614069,0.172702926779008,NA,-0.334275634877369,-0.013723554882638,0.419389057595994,0.466933511326447,0.0786639831351883,0.574906212447097,0.0926450612168226,0.292273501720051,-0.51537896612953,0.28707654921381,-0.0569991039074078,0.494710477224556,-0.451615415504823,-0.5884565882758,-0.00679406661279264,0.0995077151317225,-0.173769327549607,-0.225334850147561,0.0377047254120674,0.239933720141799,0.637060854804789,0.534410135189185,0.487453851500467,-0.460017762396723,-0.453107507353479,-0.114264894874577
"S7080",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S7081",-0.0834330494867416,-0.0566445238971852,0.470310382459462,0.292004896927593,-0.280990328838997,NA,1,0.526881262338318,0.533405018145043,0.722477271432168,0.347756309417153,-0.0681524158860829,-0.031102062125263,-0.394724252387839,NA,0.0580761819326246,-0.314945541992196,-0.109668877765923,0.0987517858239084,0.405778726896858,0.360202573462458,0.218545767155615,0.0161952929231441,0.323579553203324,-0.532910048662078,-0.404978441132849,-0.0562489780564453,0.527731240574539,0.320098427856304,-0.0407676943625211,-0.0575932192954492,0.553141680981188,-0.0818231431227248,0.0303382472676509,-0.268391848875967,-0.363155362552943,0.394564300085535,0.433346024059375,0.461471191559668,0.284350668062846,0.440522302145439
"S7084",0.413868009632141,0.474956842887786,0.396328559021185,0.462015628649314,-0.105055722514194,NA,0.526881262338318,1,0.268858735463152,0.117221037765921,0.306722382351512,0.248263971266247,-0.143505572226655,-0.394760864872485,NA,-0.0094917887716172,-0.00878597793487986,-0.400183722679503,-0.288846005345191,-0.279657789904385,0.0032584145946814,0.17424639951582,-0.266775237851893,0.407115361547334,-0.236080468588248,0.171189978821783,0.184257361798329,0.243336233571036,-0.286987430225542,0.503416852457796,0.438455338521416,-0.174544735444013,-0.429789430880871,-0.255047041098749,0.356091142766608,0.110509480506669,0.00753254294212649,0.471111678545199,0.884784849361829,0.24028091756425,0.624404027230925
"S7085",-0.243180615615677,-0.275382004373828,0.573564293116006,-0.173005049112066,0.561357449841038,NA,0.533405018145043,0.268858735463152,1,0.601007133941744,-0.261185631240258,-0.787693609110512,0.180671125632967,-0.298924479977367,NA,-0.199912092577783,-0.0943335826623873,0.185802951609456,0.275403666199683,0.474820468531891,0.794809689259089,0.360662893396993,0.29447191633119,-0.0860074932298081,-0.0105043766112555,-0.428893759718734,0.510731064491093,0.116779847886988,-0.177258250132276,-0.29683671414427,-0.238403918121391,0.413358374967946,-0.102582129361809,-0.206361568159025,-0.00657965630899378,0.210565256107921,0.783312388467443,0.47215800675967,-0.0858417288535022,-0.320996029685634,0.36338173165083
"S7087",-0.288859070478153,-0.0505997967875091,0.139388494506181,0.30906822613815,-0.0924102989585326,NA,0.722477271432168,0.117221037765921,0.601007133941744,1,0.316598332131541,-0.499846000998872,0.53162528889921,-0.357593091316802,NA,0.358927619015409,-0.471117428446968,-0.138594282132934,0.288372184803694,0.607663423057692,0.747569566726774,0.562528232564517,0.33073568973355,-0.125813375612382,-0.137390642641742,-0.643323563599176,-0.0242909303988798,0.154213796748873,0.367217257418307,-0.234291437119643,-0.266662309468967,0.788610985445798,0.0158601294146239,-0.201547793673504,-0.489045727189852,-0.411732793114143,0.773464311002962,0.101754656305744,-0.00211798415990327,0.0958161957690115,-0.0387101639230049
