"","S10089","S10329","S10459","S8637","S8762","S8891","S9167","S9315","S9449","S9583","S9721","S9965"
"S10089",1,0.520325972007493,0.583330571019788,0.581721065210258,0.924674482069281,-0.284713687362055,0.707577901056583,0.496302021142482,0.264188855345781,0.48176386172789,0.418611378076869,0.306685713650937
"S10329",0.520325972007493,1,0.665354360055135,0.638643666683521,0.609247586410426,-0.293791889857325,0.3954685673536,0.246928292126367,0.000920185820758696,-0.0523209204125859,0.289148616356127,0.41335745330972
"S10459",0.583330571019788,0.665354360055135,1,0.425066514632973,0.643592434289681,0.186051540533965,0.529616665167483,0.429388448831876,0.538251812141313,0.510028213671185,0.211257061487996,0.362978211857415
"S8637",0.581721065210258,0.638643666683521,0.425066514632973,1,0.655328681949827,-0.436554514269722,0.300455059746352,-0.0151945479015992,-0.211116306766169,0.396923137412636,-0.18316648115355,0.54457575440677
"S8762",0.924674482069281,0.609247586410426,0.643592434289681,0.655328681949827,1,-0.222004395395529,0.823710511027823,0.680512470758916,0.402635556117822,0.368950949997839,0.316182087387497,0.406545447997908
"S8891",-0.284713687362055,-0.293791889857325,0.186051540533965,-0.436554514269722,-0.222004395395529,1,-0.0285420930629054,0.149996427494067,0.365302469804557,0.158885668886433,-0.314811103322595,-0.538831955757753
"S9167",0.707577901056583,0.3954685673536,0.529616665167483,0.300455059746352,0.823710511027823,-0.0285420930629054,1,0.81120184381453,0.582217060558096,0.100208044875433,0.345560731883992,0.25350095347026
"S9315",0.496302021142482,0.246928292126367,0.429388448831876,-0.0151945479015992,0.680512470758916,0.149996427494067,0.81120184381453,1,0.795792122468267,-0.034998254580362,0.432349460867357,0.135387126190885
"S9449",0.264188855345781,0.000920185820758696,0.538251812141313,-0.211116306766169,0.402635556117822,0.365302469804557,0.582217060558096,0.795792122468267,1,0.226252505214305,0.414587555536209,0.229312963431001
"S9583",0.48176386172789,-0.0523209204125859,0.510028213671185,0.396923137412636,0.368950949997839,0.158885668886433,0.100208044875433,-0.034998254580362,0.226252505214305,1,-0.204656937963634,0.176019732896708
"S9721",0.418611378076869,0.289148616356127,0.211257061487996,-0.18316648115355,0.316182087387497,-0.314811103322595,0.345560731883992,0.432349460867357,0.414587555536209,-0.204656937963634,1,0.277994993971421
"S9965",0.306685713650937,0.41335745330972,0.362978211857415,0.54457575440677,0.406545447997908,-0.538831955757753,0.25350095347026,0.135387126190885,0.229312963431001,0.176019732896708,0.277994993971421,1
