"","Axis1","Axis2","site","year","HydroBasin","Country"
"S10015_2005",2.11350025163563,0.576844844022238,"S10015",2005,"2080029400","FIN"
"S10015_2006",2.14797610692581,-0.0279217184914498,"S10015",2006,"2080029400","FIN"
"S10015_2007",1.7801137098881,-0.107382721321293,"S10015",2007,"2080029400","FIN"
"S10015_2008",1.42658521905903,0.258728455498484,"S10015",2008,"2080029400","FIN"
"S10015_2009",1.89297882961153,-0.141786265730879,"S10015",2009,"2080029400","FIN"
"S10015_2010",1.56517605698456,-0.250952807994951,"S10015",2010,"2080029400","FIN"
"S10015_2011",1.21095026250473,-0.393054439339069,"S10015",2011,"2080029400","FIN"
"S10015_2012",1.50825846574188,-0.0284223554483449,"S10015",2012,"2080029400","FIN"
"S10015_2013",1.82104678344698,0.0532202915725884,"S10015",2013,"2080029400","FIN"
"S10038_2005",2.29040925693478,0.421969791009741,"S10038",2005,"2080029400","FIN"
"S10038_2006",1.98017835676231,-0.508632088915339,"S10038",2006,"2080029400","FIN"
"S10038_2007",2.32564243653483,-0.00914099021657673,"S10038",2007,"2080029400","FIN"
"S10038_2008",2.07229254206565,-0.0260357852329308,"S10038",2008,"2080029400","FIN"
"S10038_2009",1.99676393303175,-0.228121003931719,"S10038",2009,"2080029400","FIN"
"S10038_2010",1.68100036519077,-0.182430672268837,"S10038",2010,"2080029400","FIN"
"S10038_2011",1.86805544999431,-0.262184382093683,"S10038",2011,"2080029400","FIN"
"S10038_2012",1.49806711864131,0.526383070918173,"S10038",2012,"2080029400","FIN"
"S10038_2013",0.823377484268761,0.573826518317659,"S10038",2013,"2080029400","FIN"
"S10089_2004",3.13826058301824,0.42264830242007,"S10089",2004,"7080049270","USA"
"S10089_2005",3.55731358023008,1.28666044416117,"S10089",2005,"7080049270","USA"
"S10089_2006",3.28525373634317,0.13965497099992,"S10089",2006,"7080049270","USA"
"S10089_2007",3.23555709916552,0.0800857698411915,"S10089",2007,"7080049270","USA"
"S10089_2008",3.21540063471449,0.267118423467394,"S10089",2008,"7080049270","USA"
"S10089_2009",3.1809592159629,0.183326777339459,"S10089",2009,"7080049270","USA"
"S10089_2010",3.29636343243335,0.150191060683776,"S10089",2010,"7080049270","USA"
"S10089_2011",3.13633691862821,0.333673961043018,"S10089",2011,"7080049270","USA"
"S10089_2012",3.16356583868579,0.535501214907574,"S10089",2012,"7080049270","USA"
"S10089_2013",3.25377514090748,0.758581327820716,"S10089",2013,"7080049270","USA"
"S10203_2005",1.24373316415019,-2.10122955394739,"S10203",2005,"7080047060","USA"
"S10203_2006",0.79393679540117,-2.26028443829409,"S10203",2006,"7080047060","USA"
"S10203_2009",0.779826835873921,-2.02537089029761,"S10203",2009,"7080047060","USA"
"S10203_2004",0.547716042395179,-2.97476023084202,"S10203",2004,"7080047060","USA"
"S10203_2007",0.686903685386698,-2.9168973650688,"S10203",2007,"7080047060","USA"
"S10203_2008",0.866442298223456,-2.50192318872033,"S10203",2008,"7080047060","USA"
"S10203_2011",1.08281244160538,-1.99936909562595,"S10203",2011,"7080047060","USA"
"S10203_2012",1.39206821181487,-1.92498634930742,"S10203",2012,"7080047060","USA"
"S10203_2013",0.911009560924044,-2.73071779754277,"S10203",2013,"7080047060","USA"
"S10203_2010",0.528937956519663,-2.25580625043202,"S10203",2010,"7080047060","USA"
"S1026_2005",-1.20236089110671,0.735370467718384,"S1026",2005,"2080033010","SWE"
"S1026_2004",-0.938702999523349,0.643324229600245,"S1026",2004,"2080033010","SWE"
"S1026_2006",-0.637554577928952,0.500172594156733,"S1026",2006,"2080033010","SWE"
"S1026_2007",-0.67929028878135,0.552760036734883,"S1026",2007,"2080033010","SWE"
"S1026_2008",-0.348706465350146,0.437349126229542,"S1026",2008,"2080033010","SWE"
"S1026_2009",-1.15903077630731,0.720243387544302,"S1026",2009,"2080033010","SWE"
"S1026_2010",1.13525366081948,-0.0807197482158434,"S1026",2010,"2080033010","SWE"
"S1026_2011",1.20703032912414,-0.105777872827332,"S1026",2011,"2080033010","SWE"
"S1026_2012",-1.20011985653535,0.734588094770825,"S1026",2012,"2080033010","SWE"
"S1026_2013",0.091397379956445,0.283703418534151,"S1026",2013,"2080033010","SWE"
"S1029_2007",-0.0292181998548865,0.325811812534417,"S1029",2007,"2080033010","SWE"
"S1029_2011",1.74745292561385,-0.294446100059923,"S1029",2011,"2080033010","SWE"
"S1029_2005",0.566072859048555,0.117988324952207,"S1029",2005,"2080033010","SWE"
"S1029_2006",0.0392768357219436,0.301899346585632,"S1029",2006,"2080033010","SWE"
